ID,Pattern,Background,MeanV,Frame,Left,Right,Up,Down
T01_AcM_21April,Black,Mean,0,0,0.0263,0.0122,0.0298,0.0035
T01_AcM_21April,Black,Mean,0,1,0.0314,0.0136,0.033,0.0057
T01_AcM_21April,Black,Mean,0,2,0.037,0.015,0.0366,0.0088
T01_AcM_21April,Black,Mean,0,3,0.043,0.0163,0.0407,0.0132
T01_AcM_21April,Black,Mean,0,4,0.0488,0.0173,0.0452,0.0183
T01_AcM_21April,Black,Mean,0,5,0.0539,0.0177,0.0497,0.0234
T01_AcM_21April,Black,Mean,0,6,0.0577,0.0177,0.0538,0.0278
T01_AcM_21April,Black,Mean,0,7,0.06,0.0174,0.0572,0.0309
T01_AcM_21April,Black,Mean,0,8,0.0606,0.0171,0.0594,0.0323
T01_AcM_21April,Black,Mean,0,9,0.0595,0.0172,0.0604,0.0318
T01_AcM_21April,Black,Mean,0,10,0.0571,0.0179,0.06,0.0297
T01_AcM_21April,Black,Mean,0,11,0.0533,0.019,0.0589,0.027
T01_AcM_21April,Black,Mean,0,12,0.0536,0.0252,0.0611,0.028
T01_AcM_21April,Black,Mean,0,13,0.057,0.0351,0.0653,0.0315
T01_AcM_21April,Black,Mean,0,14,0.0589,0.0435,0.0676,0.0339
T01_AcM_21April,Black,Mean,0,15,0.0585,0.0491,0.067,0.0341
T01_AcM_21April,Black,Mean,0,16,0.0558,0.0519,0.0638,0.0322
T01_AcM_21April,Black,Mean,0,17,0.0515,0.0523,0.0585,0.0285
T01_AcM_21April,Black,Mean,0,18,0.0461,0.0511,0.0521,0.0237
T01_AcM_21April,Black,Mean,0,19,0.0406,0.049,0.0453,0.0185
T01_AcM_21April,Black,Mean,0,20,0.0353,0.0466,0.0389,0.0136
T01_AcM_21April,Black,Mean,0,21,0.0308,0.0442,0.0335,0.0094
T01_AcM_21April,Black,Mean,0,22,0.0274,0.042,0.0292,0.0061
T01_AcM_21April,Black,Mean,0,23,0.025,0.04,0.0263,0.0039
T01_AcM_21April,Black,Mean,0,24,0.0236,0.0384,0.0246,0.0027
T01_AcM_21April,Black,Mean,0,25,0.0232,0.0372,0.024,0.0024
T01_AcM_21April,Black,Mean,0,26,0.0236,0.0362,0.0247,0.0031
T01_AcM_21April,Black,Mean,0,27,0.0244,0.0355,0.0263,0.0047
T01_AcM_21April,Black,Mean,0,28,0.0253,0.035,0.0289,0.007
T01_AcM_21April,Black,Mean,0,29,0.026,0.0344,0.0322,0.0099
T01_AcM_21April,Black,Mean,0,30,0.0264,0.0338,0.0357,0.0128
T01_AcM_21April,Black,Mean,0,31,0.0263,0.0331,0.0388,0.0153
T01_AcM_21April,Black,Mean,0,32,0.0256,0.0321,0.0411,0.0167
T01_AcM_21April,Black,Mean,0,33,0.0243,0.0307,0.0419,0.0165
T01_AcM_21April,Black,Mean,0,34,0.0223,0.0289,0.0409,0.0146
T01_AcM_21April,Black,Mean,0,35,0.0196,0.0266,0.0386,0.0116
T01_AcM_21April,Black,Mean,0,36,0.0168,0.024,0.0358,0.0086
T01_AcM_21April,Black,Mean,0,37,0.0152,0.0225,0.034,0.0072
T01_AcM_21April,Black,Mean,0,38,0.0168,0.0238,0.0348,0.0088
T01_AcM_21April,Black,Mean,0,39,0.0213,0.0277,0.0375,0.0127
T01_AcM_21April,Black,Mean,0,40,0.0263,0.0319,0.0401,0.0166
T01_AcM_21April,Black,Mean,0,41,0.031,0.0356,0.0416,0.0193
T01_AcM_21April,Black,Mean,0,42,0.0352,0.0386,0.042,0.0206
T01_AcM_21April,Black,Mean,0,43,0.0385,0.0409,0.0419,0.0208
T01_AcM_21April,Black,Mean,0,44,0.0407,0.0423,0.0418,0.0203
T01_AcM_21April,Black,Mean,0,45,0.0416,0.0427,0.0423,0.0197
T01_AcM_21April,Black,Mean,0,46,0.0414,0.0422,0.0442,0.0195
T01_AcM_21April,Black,Mean,0,47,0.0403,0.0411,0.0473,0.0196
T01_AcM_21April,Black,Mean,0,48,0.0385,0.0396,0.0515,0.0196
T01_AcM_21April,Black,Mean,0,49,0.0364,0.0378,0.0561,0.0188
T01_AcM_21April,Black,Mean,0,50,0.0338,0.0356,0.0603,0.0166
T01_AcM_21April,Black,Mean,0,51,0.0306,0.0328,0.0635,0.013
T01_AcM_21April,Black,Mean,0,52,0.026,0.0284,0.0655,0.0083
T01_AcM_21April,Black,Mean,0,53,0.0201,0.0227,0.0664,0.0035
T01_AcM_21April,Black,Mean,0,54,0.0157,0.0182,0.0671,0.0004
T01_AcM_21April,Black,Mean,0,55,0.0185,0.021,0.0684,0.0004
T01_AcM_21April,Black,Mean,0,56,0.0244,0.0266,0.0688,0.0022
T01_AcM_21April,Black,Mean,0,57,0.0303,0.0324,0.068,0.0053
T01_AcM_21April,Black,Mean,0,58,0.0348,0.0366,0.0659,0.0088
T01_AcM_21April,Black,Mean,0,59,0.0374,0.039,0.0622,0.0117
T01_AcM_21April,Black,Mean,0,60,0.0383,0.0396,0.0571,0.0134
T01_AcM_21April,Black,Mean,0,61,0.0381,0.039,0.051,0.0136
T01_AcM_21April,Black,Mean,0,62,0.0372,0.0377,0.0445,0.0124
T01_AcM_21April,Black,Mean,0,63,0.0362,0.0362,0.0382,0.0104
T01_AcM_21April,Black,Mean,0,64,0.0353,0.0345,0.0329,0.0083
T01_AcM_21April,Black,Mean,0,65,0.0344,0.033,0.0289,0.0067
T01_AcM_21April,Black,Mean,0,66,0.0337,0.0316,0.0265,0.006
T01_AcM_21April,Black,Mean,0,67,0.0328,0.0302,0.0256,0.0062
T01_AcM_21April,Black,Mean,0,68,0.0318,0.029,0.026,0.0072
T01_AcM_21April,Black,Mean,0,69,0.0307,0.0279,0.0271,0.0086
T01_AcM_21April,Black,Mean,0,70,0.0294,0.0269,0.0285,0.0098
T01_AcM_21April,Black,Mean,0,71,0.0281,0.0259,0.0297,0.0104
T01_AcM_21April,Black,Mean,0,72,0.0266,0.0248,0.0302,0.0101
T01_AcM_21April,Black,Mean,0,73,0.025,0.0235,0.0296,0.0088
T01_AcM_21April,Black,Mean,0,74,0.0232,0.0218,0.0282,0.0068
T01_AcM_21April,Black,Mean,0,75,0.0219,0.0204,0.0271,0.0052
T01_AcM_21April,Black,Mean,0,76,0.0238,0.0218,0.0286,0.0065
T01_AcM_21April,Black,Mean,0,77,0.0273,0.0247,0.0315,0.0092
T01_AcM_21April,Black,Mean,0,78,0.0316,0.0281,0.0345,0.0119
T01_AcM_21April,Black,Mean,0,79,0.0362,0.0318,0.0369,0.0138
T01_AcM_21April,Black,Mean,0,80,0.0404,0.0355,0.0387,0.0145
T01_AcM_21April,Black,Mean,0,81,0.0436,0.0386,0.04,0.0144
T01_AcM_21April,Black,Mean,0,82,0.0452,0.0408,0.0416,0.0138
T01_AcM_21April,Black,Mean,0,83,0.0451,0.0418,0.0438,0.013
T01_AcM_21April,Black,Mean,0,84,0.0435,0.0419,0.0468,0.0121
T01_AcM_21April,Black,Mean,0,85,0.0409,0.0413,0.0504,0.0107
T01_AcM_21April,Black,Mean,0,86,0.0378,0.0402,0.0546,0.0089
T01_AcM_21April,Black,Mean,0,87,0.0344,0.0387,0.0593,0.0068
