Number,ID,Code,DistanceFlown,BodyLength,LengthsFlown,Speed,nFrames,Duration,StartPhase,FullBeats,EndPhase,Total,WBS,Note
1,T01_AcM_21April,AcM,1121,223,5.02690583,20.60207307,244,0.244,0.125,2,0,2.875,11.78278689,""""""
2,T02_AcM_22April,AcM,996,95,10.48421053,43.50294824,241,0.241,-0.125,2,0.125,3.25,13.48547718,""""""
3,T03_HmF_v19,HmF,346,66,5.242424242,18.26628656,287,0.287,0,1,0.25,2.25,7.839721254,"""False Start"""
4,T04_HmF_v22,HmF,1001,72,13.90277778,47.44975351,293,0.293,0,2,0.625,3.625,12.37201365,""""""
5,T05_HmF_v26,HmF,821,76,10.80263158,42.53004559,254,0.254,-0.125,2,0.625,3.75,14.76377953,""""""
6,T06_HmM_v5,HmM,665,64,10.390625,52.47790404,198,0.198,0.125,1,0.625,2.5,12.62626263,
7,T07_HmM_v43,HmM,319,61,5.229508197,14.24934114,367,0.367,0.125,2,0.125,3,8.174386921,"""False Start"""
8,T08_HmM_v44,HmM,498,75,6.64,25.83657588,257,0.257,-0.25,1,0.625,2.875,11.18677043,
9,T09_PdF_v17,PdF,708,121,5.851239669,19.31102201,303,0.303,-0.25,1,0.875,3.125,10.31353135,
10,T10_PdF_v18,PdF,784,137,5.722627737,23.07511184,248,0.248,0.25,1,0.625,2.375,9.576612903,
11,T12_PdM_v9,PdM,760,102,7.450980392,20.98867716,355,0.355,-0.25,1,0,2.25,6.338028169,
12,T13_PdM_v12,PdM,324,58,5.586206897,31.38318481,178,0.178,0,0,0.5,1.5,8.426966292,
13,T14_PdM_v13,PdM,412,65,6.338461538,26.74456345,237,0.237,-0.25,0,0.75,2,8.438818565,
14,T15_Pm_v1,Pm,426,70,6.085714286,15.25241676,399,0.399,-0.25,2,0,3.25,8.145363409,"""Missing Tail"""
15,T16_Pm_v2,Pm,325,71,4.577464789,12.64493036,362,0.362,-0.25,2,0,3.25,8.977900552,"""Missing Tail"""
16,T17_Va_11Aug1,Va,746,129,5.782945736,33.23532032,174,0.174,-0.125,2,0.25,3.375,19.39655172,
17,T18_Va_11Aug2,Va,919,137,6.708029197,28.42385253,236,0.236,-0.125,2,0.625,3.75,15.88983051,
18,T19_Va_10Sep,Va,1076,180,5.977777778,34.15873016,175,0.175,0,2,0.5,3.5,20,
