genus,species,genusSpecies,sex,wing,CIE_L_mean,CIE_L_stdev,CIE_A_mean,CIE_A_stdev,CIE_B_mean,CIE_B_stdev,CIE_S_mean,CIE_S_stdev
Aglais,ichnusa,Aglais_ichnusa,Male,forewing,41.2556,15.3558,10.8747,14.7906,24.5952,19.5923,28.6911,22.4193
Aglais,ichnusa,Aglais_ichnusa,Male,hindwing,40.7541,11.3141,8.6925,11.6041,21.4036,14.5746,24.5638,16.6543
Aglais,ichnusa,Aglais_ichnusa,Male,both,37.2625,7.4844,-2.3553,2.0307,13.3498,6.4067,13.7238,6.3707
Aglais,io,Aglais_io,Male,forewing,42.9019,15.782,10.5235,12.0434,18.3352,16.6383,24.8956,15.7801
Aglais,io,Aglais_io,Male,hindwing,37.9999,11.0592,1.3611,4.6937,11.2414,9.3527,13.4817,7.4812
Aglais,io,Aglais_io,Male,both,36.8325,4.5947,2.8677,3.5065,14.4868,5.6765,15.1579,5.7301
Aglais,urticae,Aglais_urticae,Female,forewing,45.5647,18.3163,12.0283,17.9371,28.7042,23.7417,33.3544,27.2305
Aglais,urticae,Aglais_urticae,Female,hindwing,44.2751,16.442,4.9388,14.4721,19.2306,19.6578,22.2031,22.2957
Aglais,urticae,Aglais_urticae,Female,both,39.072,6.7861,-0.7298,2.1963,14.306,5.1556,14.506,5.1153
Agriades,aquilo,Agriades_aquilo,Female,forewing,48.0601,14.0705,-4.5661,2.4903,11.6398,5.8273,12.7591,5.8048
Agriades,aquilo,Agriades_aquilo,Female,hindwing,50.0346,19.2241,-3.6559,2.413,9.4814,5.7173,10.4371,5.7304
Agriades,aquilo,Agriades_aquilo,Female,both,52.5934,13.5687,-4.0924,2.5045,9.8647,4.9453,10.9253,5.0411
Agriades,aquilo,Agriades_aquilo,Male,forewing,73.6229,11.426,-3.2487,2.3723,7.769,6.6207,8.8343,6.5061
Agriades,aquilo,Agriades_aquilo,Male,hindwing,72.6139,15.1229,-2.749,2.6949,5.2784,5.2315,6.5556,5.2033
Agriades,aquilo,Agriades_aquilo,Male,both,61.2398,12.7365,-2.3002,2.8919,2.9107,4.3987,5.2093,3.7823
Agriades,dardanus,Agriades_dardanus,Female,forewing,43.9497,16.574,-5.6782,2.838,13.8247,6.8271,15.255,6.7316
