genus,species,genusSpecies,sex,treatment,render_method,flight_method,left_mean,left_dev,right_mean,right_dev,up_mean,up_dev,down_mean,down_dev
Aglais,ichnusa,Aglais_ichnusa,Male,Patterned_Gliding,Patterned,Gliding,0.0991,0.0001,0.0992,0.0001,0.1499,0.0002,8.24E-06,2.14E-05
Aglais,ichnusa,Aglais_ichnusa,Male,Patterned_Flapping,Patterned,Flapping,0.0583,0.0115,0.0585,0.0115,0.0681,0.0279,0.0145,0.0074
Aglais,ichnusa,Aglais_ichnusa,Male,Averaged_Gliding,Averaged,Gliding,0.0576,5.43E-05,0.0577,5.44E-05,0.1343,6.71E-05,1.85E-06,3.54E-06
Aglais,ichnusa,Aglais_ichnusa,Male,Averaged_Flapping,Averaged,Flapping,0.0472,0.0103,0.0473,0.0103,0.0589,0.0245,0.0124,0.0082
Aglais,ichnusa,Aglais_ichnusa,Male,White_Gliding,White,Gliding,0.8891,0.0008,0.8904,0.0008,2.0727,0.001,2.85E-05,5.46E-05
Aglais,ichnusa,Aglais_ichnusa,Male,White_Flapping,White,Flapping,0.6991,0.1721,0.7009,0.1722,0.8835,0.3896,0.1875,0.1253
Aglais,io,Aglais_io,Male,Patterned_Gliding,Patterned,Gliding,0.1266,0.0001,0.1267,0.0001,0.1745,0.0002,7.72E-06,1.17E-05
Aglais,io,Aglais_io,Male,Patterned_Flapping,Patterned,Flapping,0.0673,0.0151,0.0674,0.0151,0.0816,0.0347,0.0151,0.0084
Aglais,io,Aglais_io,Male,Averaged_Gliding,Averaged,Gliding,0.0613,6.73E-05,0.0614,6.75E-05,0.1386,8.85E-05,2.23E-06,3.26E-06
Aglais,io,Aglais_io,Male,Averaged_Flapping,Averaged,Flapping,0.0479,0.0103,0.048,0.0103,0.0599,0.0252,0.0125,0.0087
Aglais,io,Aglais_io,Male,White_Gliding,White,Gliding,0.9373,0.001,0.9388,0.001,2.1198,0.0014,3.41E-05,4.99E-05
Aglais,io,Aglais_io,Male,White_Flapping,White,Flapping,0.7038,0.1725,0.7051,0.1725,0.8898,0.3956,0.1881,0.1303
Aglais,urticae,Aglais_urticae,Female,Patterned_Gliding,Patterned,Gliding,0.1194,0.0004,0.1195,0.0004,0.1585,0.0004,1.27E-05,1.76E-05
Aglais,urticae,Aglais_urticae,Female,Patterned_Flapping,Patterned,Flapping,0.055,0.0129,0.0552,0.0129,0.0701,0.0295,0.0152,0.0076
Aglais,urticae,Aglais_urticae,Female,Averaged_Gliding,Averaged,Gliding,0.0348,3.41E-05,0.0349,3.42E-05,0.0917,7.09E-05,1.75E-06,2.43E-06
Aglais,urticae,Aglais_urticae,Female,Averaged_Flapping,Averaged,Flapping,0.0296,0.0057,0.0296,0.0057,0.0406,0.0155,0.0082,0.0057
Aglais,urticae,Aglais_urticae,Female,White_Gliding,White,Gliding,0.877,0.0009,0.8779,0.0009,2.3072,0.0018,4.41E-05,6.12E-05
