Family,Subfamily,Tribe,Genus,Species,Binomial,genusSpecies
Hesperiidae,Hesperiinae,Baorini,Borbo,borbonica,Borbo_borbonica,Borbo_borbonica
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,stauderi,Carcharodus_stauderi,Carcharodus_stauderi
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,baeticus,Carcharodus_baeticus,Carcharodus_baeticus
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,alceae,Carcharodus_alceae,Carcharodus_alceae
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,orientalis,Carcharodus_orientalis,Carcharodus_orientalis
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,floccifera,Carcharodus_floccifera,Carcharodus_floccifera
Hesperiidae,Pyrginae,Carcharodini,Carcharodus,lavatherae,Carcharodus_lavatherae,Carcharodus_lavatherae
Hesperiidae,Heteropterinae,Heteropterini,Carterocephalus,silvicola,Carterocephalus_silvicola,Carterocephalus_silvicola
Hesperiidae,Heteropterinae,Heteropterini,Carterocephalus,palaemon,Carterocephalus_palaemon,Carterocephalus_palaemon
Hesperiidae,Pyrginae,Erynnini,Erynnis,marloyi,Erynnis_marloyi,Erynnis_marloyi
Hesperiidae,Pyrginae,Erynnini,Erynnis,tages,Erynnis_tages,Erynnis_tages
Hesperiidae,Hesperiinae,Baorini,Gegenes,pumilio,Gegenes_pumilio,Gegenes_pumilio
Hesperiidae,Hesperiinae,Baorini,Gegenes,nostrodamus,Gegenes_nostrodamus,Gegenes_nostrodamus
Hesperiidae,Hesperiinae,Hesperiini,Hesperia,comma,Hesperia_comma,Hesperia_comma
Hesperiidae,Heteropterinae,Heteropterini,Heteropterus,morpheus,Heteropterus_morpheus,Heteropterus_morpheus
Hesperiidae,Pyrginae,Carcharodini,Muschampia,proto,Muschampia_proto,Muschampia_proto
Hesperiidae,Pyrginae,Carcharodini,Muschampia,cribrellum,Muschampia_cribrellum,Muschampia_cribrellum
Hesperiidae,Pyrginae,Carcharodini,Muschampia,tessellum,Muschampia_tessellum,Muschampia_tessellum
Hesperiidae,Hesperiinae,Hesperiini,Ochlodes,sylvanus,Ochlodes_sylvanus,Ochlodes_sylvanus
Hesperiidae,Hesperiinae,Baorini,Pelopidas,thrax,Pelopidas_thrax,Pelopidas_thrax
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,alveus,Pyrgus_alveus,Pyrgus_alveus
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,andromedae,Pyrgus_andromedae,Pyrgus_andromedae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,carlinae,Pyrgus_carlinae,Pyrgus_carlinae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,carthami,Pyrgus_carthami,Pyrgus_carthami
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,cacaliae,Pyrgus_cacaliae,Pyrgus_cacaliae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,cirsii,Pyrgus_cirsii,Pyrgus_cirsii
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,foulquieri,Pyrgus_foulquieri,Pyrgus_foulquieri
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,centaureae,Pyrgus_centaureae,Pyrgus_centaureae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,cinarae,Pyrgus_cinarae,Pyrgus_cinarae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,serratulae,Pyrgus_serratulae,Pyrgus_serratulae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,sidae,Pyrgus_sidae,Pyrgus_sidae
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,warrenensis,Pyrgus_warrenensis,Pyrgus_warrenensis
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,armoricanus,Pyrgus_armoricanus,Pyrgus_armoricanus
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,onopordi,Pyrgus_onopordi,Pyrgus_onopordi
Hesperiidae,Pyrginae,Pyrgini,Pyrgus,malvae,Pyrgus_malvae,Pyrgus_malvae
Hesperiidae,Pyrginae,Carcharodini,Spialia,phlomidis,Spialia_phlomidis,Spialia_phlomidis
Hesperiidae,Pyrginae,Carcharodini,Spialia,sertorius,Spialia_sertorius,Spialia_sertorius
Hesperiidae,Pyrginae,Carcharodini,Spialia,orbifer,Spialia_orbifer,Spialia_orbifer
Hesperiidae,Pyrginae,Carcharodini,Spialia,therapne,Spialia_therapne,Spialia_therapne
Hesperiidae,Hesperiinae,Hesperiini,Thymelicus,acteon,Thymelicus_acteon,Thymelicus_acteon
Hesperiidae,Hesperiinae,Hesperiini,Thymelicus,christi,Thymelicus_christi,Thymelicus_christi
Hesperiidae,Hesperiinae,Hesperiini,Thymelicus,lineola,Thymelicus_lineola,Thymelicus_lineola
Hesperiidae,Hesperiinae,Hesperiini,Thymelicus,sylvestris,Thymelicus_sylvestris,Thymelicus_sylvestris
Lycaenidae,Polyommatinae,Polyommatini,Agriades,aquilo,Agriades_aquilo,Agriades_aquilo
Lycaenidae,Polyommatinae,Polyommatini,Agriades,dardanus,Agriades_dardanus,Agriades_dardanus
Lycaenidae,Polyommatinae,Polyommatini,Agriades,pyrenaicus,Agriades_pyrenaicus,Agriades_pyrenaicus
Lycaenidae,Polyommatinae,Polyommatini,Agriades,optilete,Agriades_optilete,Agriades_optilete
Lycaenidae,Polyommatinae,Polyommatini,Agriades,glandon,Agriades_glandon,Agriades_glandon
Lycaenidae,Polyommatinae,Polyommatini,Agriades,zullichi,Agriades_zullichi,Agriades_zullichi
Lycaenidae,Polyommatinae,Polyommatini,Aricia,artaxerxes,Aricia_artaxerxes,Aricia_artaxerxes
Lycaenidae,Polyommatinae,Polyommatini,Aricia,anteros,Aricia_anteros,Aricia_anteros
Lycaenidae,Polyommatinae,Polyommatini,Aricia,montensis,Aricia_montensis,Aricia_montensis
Lycaenidae,Polyommatinae,Polyommatini,Aricia,cramera,Aricia_cramera,Aricia_cramera
Lycaenidae,Polyommatinae,Polyommatini,Aricia,agestis,Aricia_agestis,Aricia_agestis
