genus,species,genusSpecies,sex,wing,L_mean,L_stdev,L_x,L_y,P_mean,P_stdev,P_x,P_y,E_mean,E_stdev,E_x,E_y,VH_mean,VH_stdev,VH_x,VH_y,OA_mean,OA_stdev,OA_x,OA_y,DR_mean,DR_stdev,DR_x,DR_y
Aglais,ichnusa,Aglais_ichnusa,Male,forewing,51.2844,17.3590,-0.0529,1.200E-14,0.2686,0.0508,0.0001,2.916E-17,0.2816,0.0640,-0.0002,0,0.0689,0.0874,0.0010,1.139E-18,0.0487,0.0510,0.0002,-2.430E-18,0.0041,0.0578,0.0007,-3.644E-18
Aglais,ichnusa,Aglais_ichnusa,Male,hindwing,48.5246,10.6449,0.0229,-5.938E-16,0.2675,0.0515,-3.271E-5,-1.457E-17,0.2278,0.0673,0.0012,2.428E-18,0.0053,0.0503,0.0003,6.069E-18,0.0218,0.0412,4.234E-5,3.034E-18,-0.0309,0.0333,-0.0003,-9.103E-19
Aglais,io,Aglais_io,Male,forewing,55.1298,23.2145,0.0024,-1.077E-14,0.2685,0.0532,-0.0001,-1.551E-17,0.3946,0.1467,0.0012,-1.551E-17,-0.0162,0.0814,0.0001,7.051E-18,0.0210,0.0737,0.0003,8.373E-19,-0.0578,0.0735,-0.0007,7.051E-19
Aglais,io,Aglais_io,Male,hindwing,44.3287,13.5770,0.1108,-4.879E-16,0.2455,0.0567,-0.0003,3.454E-17,0.3609,0.1039,0.0015,3.251E-17,0.0317,0.0889,0.0001,4.064E-18,0.0989,0.0794,6.136E-5,-7.112E-18,-0.0029,0.0579,-0.0001,-6.096E-18
Aglais,urticae,Aglais_urticae,Female,forewing,60.3650,22.9945,-0.0035,-7.942E-15,0.2830,0.0494,7.771E-5,-3.517E-17,0.3213,0.0891,-0.0004,1.759E-17,0.0292,0.0770,0.0007,-5.038E-19,0.0342,0.0745,-0.0006,1.099E-18,-0.0252,0.0507,0.0003,-1.099E-18
Aglais,urticae,Aglais_urticae,Female,hindwing,55.9311,19.6448,0.1061,5.316E-15,0.2546,0.0442,0.0003,4.436E-18,0.4197,0.1171,0.0011,-4.214E-17,0.1174,0.0971,0.0011,2.495E-18,0.0609,0.0888,-0.0004,-1.109E-18,-0.0042,0.0694,0.0003,-1.054E-17
Agriades,aquilo,Agriades_aquilo,Female,forewing,59.9522,22.2664,0.0393,3.610E-15,0.2484,0.0529,-6.414E-5,-2.391E-17,0.3817,0.2385,0.0025,-6.873E-17,0.0580,0.2177,0.0024,-4.856E-18,-0.1156,0.1549,-0.0004,0,0.0667,0.1153,0.0010,-5.603E-18
Agriades,aquilo,Agriades_aquilo,Female,hindwing,65.9463,34.1940,0.1502,-6.343E-15,0.2418,0.0471,-5.384E-5,3.738E-17,0.8427,0.2683,0.0039,3.945E-17,-0.1107,0.2632,0.0033,-2.180E-17,0.0899,0.2806,-0.0028,0,-0.0052,0.1784,0.0001,6.749E-18
Agriades,aquilo,Agriades_aquilo,Male,forewing,128.6524,18.9655,0.2087,9.678E-15,0.2869,0.0704,0.0006,0,0.3131,0.1232,-0.0014,-3.923E-18,-0.0124,0.0965,0.0003,-4.904E-18,-0.0237,0.0723,-0.0006,6.538E-19,-0.0193,0.0552,0.0005,-2.452E-19
Agriades,aquilo,Agriades_aquilo,Male,hindwing,126.1660,24.0613,0.2063,2.928E-15,0.2640,0.0459,0.0005,1.246E-17,0.4263,0.1645,-0.0011,3.738E-17,0.0402,0.1358,-0.0007,0,0.0282,0.1216,-0.0005,0,-0.0082,0.0628,0.0004,0
Agriades,dardanus,Agriades_dardanus,Female,forewing,54.8885,30.3036,0.0500,-5.738E-15,0.2503,0.0600,4.756E-5,-3.299E-17,0.4955,0.3276,0.0038,3.629E-17,0.0501,0.2553,0.0022,3.712E-18,-0.1578,0.1738,-0.0009,0,0.0596,0.1251,0.0009,-4.537E-18
Agriades,dardanus,Agriades_dardanus,Female,hindwing,62.1129,37.2552,0.1814,-2.928E-15,0.2458,0.0521,5.622E-7,0,0.9140,0.3619,0.0064,0,-0.0901,0.3286,0.0045,0,0.0446,0.2861,-0.0024,0,-0.0296,0.2172,0.0003,0
Agriades,dardanus,Agriades_dardanus,Male,forewing,145.0707,30.0603,0.0827,-9.917E-15,0.2570,0.0564,0.0001,0,0.5665,0.1652,3.129E-5,0,-0.0460,0.1452,0.0007,0,0.0859,0.0998,0.0002,0,-0.0448,0.0840,5.797E-5,0
Agriades,dardanus,Agriades_dardanus,Male,hindwing,145.7313,30.7381,-0.0876,5.938E-15,0.2391,0.0435,5.044E-5,2.135E-17,0.6945,0.1835,4.419E-5,0,0.0921,0.1736,0.0018,1.780E-18,-0.0662,0.1592,0.0003,-1.186E-18,-0.0464,0.1075,0.0006,-4.746E-18
Agriades,glandon,Agriades_glandon,Female,forewing,53.5785,26.1748,0.0378,5.701E-15,0.2451,0.0493,-1.866E-6,-7.701E-18,0.4574,0.2673,0.0031,-1.284E-17,0.0814,0.2501,0.0027,0,-0.1482,0.1583,-0.0004,0,0.0758,0.1267,0.0011,3.851E-18
Agriades,glandon,Agriades_glandon,Female,hindwing,64.8705,39.7291,0.1800,1.161E-14,0.2423,0.0502,-0.0002,0,1.0285,0.3196,0.0055,9.491E-18,-0.0646,0.3207,0.0049,7.118E-18,0.0439,0.3213,-0.0034,2.373E-18,-0.0550,0.2265,0.0007,1.305E-17
Agriades,glandon,Agriades_glandon,Male,forewing,107.5659,34.3417,-0.0939,-1.038E-14,0.2453,0.0433,4.952E-5,0,0.6067,0.1910,-0.0010,0,0.0150,0.1618,0.0014,0,-0.0045,0.1528,-0.0011,0,-0.0639,0.1146,0.0006,0
Agriades,glandon,Agriades_glandon,Male,hindwing,135.3022,32.9394,-0.1142,-4.972E-15,0.2528,0.0410,6.638E-5,0,0.7008,0.1734,0.0020,5.847E-17,0.1056,0.1683,0.0006,6.991E-18,0.0680,0.1740,0.0004,4.449E-18,-0.0435,0.1050,0.0004,-3.178E-18
Agriades,optilete,Agriades_optilete,Female,forewing,73.9255,16.8085,0.0529,-7.503E-16,0.2506,0.0557,2.162E-5,0,0.3054,0.1779,0.0015,0,0.0438,0.1605,0.0022,0,-0.0991,0.1233,-0.0005,0,0.0525,0.0841,0.0009,0
Agriades,optilete,Agriades_optilete,Female,hindwing,73.0766,30.7212,0.1151,1.215E-14,0.2425,0.0482,0.0001,0,0.8285,0.2646,0.0037,2.236E-17,-0.0781,0.2538,0.0030,1.428E-17,0.0925,0.2503,-0.0034,-1.242E-17,-0.0363,0.1742,-0.0004,-3.726E-18
Agriades,optilete,Agriades_optilete,Male,forewing,57.8550,20.9848,0.0076,7.878E-15,0.2399,0.0530,0.0002,0,0.4257,0.2403,0.0035,0,0.1266,0.1966,0.0027,0,-0.1016,0.1566,-0.0001,0,0.0570,0.1119,0.0012,0
Agriades,optilete,Agriades_optilete,Male,hindwing,65.6961,24.6901,0.0370,4.556E-15,0.2411,0.0529,4.608E-5,2.602E-17,0.6971,0.2224,0.0034,4.424E-17,0.0368,0.2078,0.0024,8.457E-18,0.0395,0.2098,-0.0023,1.236E-17,-0.0362,0.1331,0.0006,8.132E-19
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,forewing,119.8762,22.8796,0.0434,-2.834E-15,0.2543,0.0511,8.274E-5,-1.581E-17,0.4329,0.1291,0.0006,-3.162E-17,0.1077,0.1608,0.0021,0,-0.0036,0.0942,-0.0004,3.931E-20,0.0035,0.0951,0.0009,7.906E-18
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,hindwing,116.2271,23.8998,0.0366,-1.243E-15,0.2402,0.0494,0.0003,2.669E-17,0.5483,0.1496,0.0004,-2.288E-17,-0.1174,0.1496,0.0012,7.627E-18,0.0260,0.1505,-0.0017,-4.131E-18,-0.0118,0.1100,0.0002,-6.355E-19
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,forewing,59.7344,42.2698,0.1349,-1.043E-14,0.2361,0.0458,0.0001,0,0.7022,0.4553,0.0063,0,0.1727,0.4003,0.0050,0,-0.2149,0.2442,-0.0011,0,0.1271,0.1955,0.0020,0
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,hindwing,64.4322,43.5485,0.1604,-5.554E-15,0.2402,0.0532,-8.388E-5,5.323E-17,1.1435,0.3610,0.0054,-1.331E-17,-0.1942,0.3486,0.0029,0,0.0507,0.3484,-0.0042,1.664E-17,-0.0375,0.2485,-0.0004,-4.436E-18
Agriades,zullichi,Agriades_zullichi,Female,forewing,74.5172,23.6557,-0.0131,4.250E-15,0.2431,0.0518,0.0001,0,0.3911,0.2493,0.0030,0,0.1049,0.1889,0.0015,0,-0.1188,0.1508,-0.0008,0,0.0460,0.1198,0.0009,0
Agriades,zullichi,Agriades_zullichi,Female,hindwing,79.9272,31.4256,0.0188,6.968E-15,0.2431,0.0487,0.0003,-3.559E-17,0.8174,0.2577,0.0035,-1.661E-17,0.0068,0.2196,0.0016,-3.559E-18,0.0807,0.2359,-0.0022,-1.186E-17,-0.0672,0.1710,5.603E-5,4.449E-19
Agriades,zullichi,Agriades_zullichi,Male,forewing,84.6339,23.2458,-0.0563,0,0.2554,0.0467,0.0002,1.581E-17,0.4336,0.1808,3.546E-6,-2.300E-17,0.1300,0.1675,0.0019,-3.594E-19,-0.0775,0.1186,-0.0002,2.471E-19,0.0218,0.1194,0.0017,-2.156E-18
Agriades,zullichi,Agriades_zullichi,Male,hindwing,107.4517,26.6793,-0.0785,5.554E-16,0.2674,0.0465,0.0003,0,0.5607,0.1524,0.0010,-2.847E-17,-0.0165,0.1532,0.0013,0,0.0522,0.1445,-0.0014,-2.076E-18,-0.0444,0.0932,-0.0002,-1.780E-18
Albulina,orbitulus,Albulina_orbitulus,Female,forewing,47.7125,29.7228,0.0475,-1.214E-14,0.2387,0.0468,0.0001,0,0.5171,0.3460,0.0041,4.973E-17,0.1207,0.2834,0.0032,2.331E-18,-0.1390,0.1712,-0.0007,-6.993E-18,0.0646,0.1429,0.0011,6.604E-18
Albulina,orbitulus,Albulina_orbitulus,Female,hindwing,54.9488,35.3536,0.1058,5.087E-15,0.2432,0.0549,-0.0001,-1.271E-17,0.9311,0.3021,0.0044,0,-0.1117,0.2930,0.0032,-1.017E-17,0.0430,0.3076,-0.0039,-1.780E-17,-0.0299,0.2159,8.735E-5,-3.813E-18
Albulina,orbitulus,Albulina_orbitulus,Male,forewing,68.0581,20.7229,0.0059,1.204E-14,0.2405,0.0473,0.0002,0,0.4055,0.2044,0.0015,0,0.1000,0.1591,0.0014,0,-0.1083,0.1238,-0.0002,0,0.0281,0.0922,0.0008,0
Albulina,orbitulus,Albulina_orbitulus,Male,hindwing,67.7860,28.5413,0.0646,-1.033E-14,0.2423,0.0507,0.0001,0,0.7397,0.2591,0.0043,-1.457E-17,-0.0399,0.2415,0.0032,0,0.0644,0.2315,-0.0024,-5.462E-18,-0.0316,0.1638,0.0003,-4.552E-18
Anthocharis,cardamines,Anthocharis_cardamines,Female,forewing,190.2161,59.1996,0.1933,5.717E-15,0.2526,0.0506,4.721E-5,0,1.0109,0.3879,0.0005,0,0.0831,0.3015,-0.0006,0,0.1297,0.2537,0.0018,0,-0.0739,0.1746,-0.0002,0
Anthocharis,cardamines,Anthocharis_cardamines,Female,hindwing,184.8324,31.7214,0.1979,-6.246E-15,0.2571,0.0617,0.0005,0,0.6727,0.2218,-0.0024,0,-0.0550,0.1907,-0.0017,0,-0.1069,0.1191,0.0007,0,-0.0468,0.1071,-0.0001,0
Anthocharis,cardamines,Anthocharis_cardamines,Male,forewing,140.0819,67.6516,-0.2290,9.752E-15,0.2311,0.0401,-3.364E-5,-7.925E-18,1.1640,0.2892,-0.0014,0,-0.0550,0.3090,-0.0011,2.774E-18,0.3090,0.2228,-0.0001,2.972E-18,-0.0296,0.2034,-4.789E-6,0
Anthocharis,cardamines,Anthocharis_cardamines,Male,hindwing,181.9165,30.8660,0.1478,-3.484E-15,0.2562,0.0619,0.0004,1.392E-17,0.6652,0.2152,-0.0018,5.567E-17,0.0978,0.1764,-0.0011,-1.392E-17,-0.0616,0.1176,0.0011,2.030E-18,-0.0658,0.1071,-0.0005,2.320E-18
Anthocharis,damone,Anthocharis_damone,Female,forewing,183.8894,60.9732,0.1737,3.725E-15,0.2518,0.0497,1.616E-5,1.980E-17,1.0769,0.3648,0.0015,9.898E-17,0.0478,0.3258,-0.0007,-1.485E-17,0.1154,0.2786,0.0020,-1.815E-17,-0.0811,0.1992,-0.0004,1.320E-17
Anthocharis,damone,Anthocharis_damone,Female,hindwing,152.7450,18.6480,0.0652,8.314E-15,0.2700,0.0588,0.0005,1.457E-17,0.4044,0.1133,-0.0007,-3.884E-17,-0.0707,0.1036,0.0004,-1.214E-17,-0.0897,0.0830,-0.0004,9.103E-18,-0.0058,0.0636,0.0003,-6.676E-18
Anthocharis,damone,Anthocharis_damone,Male,forewing,113.8437,51.2813,-0.1938,-1.125E-14,0.2382,0.0445,4.609E-5,0,0.7953,0.1993,-0.0012,0,-0.1891,0.2028,-0.0004,-3.809E-19,0.2099,0.1747,-0.0005,3.047E-18,0.0295,0.1434,0.0002,-4.190E-18
