genus,species,genusSpecies,sex,Body_Length,Wing_Area,Wing_WBF
Aglais,ichnusa,Aglais_ichnusa,Male,34.9404,858.1484,12.5718
Aglais,io,Aglais_io,Male,40.7073,1366.6083,11.6345
Aglais,urticae,Aglais_urticae,Female,30.8697,890.8441,12.4938
Agriades,aquilo,Agriades_aquilo,Female,17.4702,251.4718,15.4230
Agriades,aquilo,Agriades_aquilo,Male,17.9791,209.3722,15.9008
Agriades,dardanus,Agriades_dardanus,Female,16.7918,217.6181,15.7988
Agriades,dardanus,Agriades_dardanus,Male,17.3854,258.7323,15.3500
Agriades,glandon,Agriades_glandon,Female,17.3006,245.4411,15.4854
Agriades,glandon,Agriades_glandon,Male,21.3289,315.2666,14.8531
Agriades,optilete,Agriades_optilete,Female,17.9366,288.8352,15.0712
Agriades,optilete,Agriades_optilete,Male,18.8271,281.3482,15.1373
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,18.2759,255.9705,15.3775
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,16.7918,273.2605,15.2110
Agriades,zullichi,Agriades_zullichi,Female,16.1133,229.5283,15.6592
Agriades,zullichi,Agriades_zullichi,Male,18.8271,273.7352,15.2066
Albulina,orbitulus,Albulina_orbitulus,Female,18.6575,336.3865,14.6936
Albulina,orbitulus,Albulina_orbitulus,Male,20.3112,329.5036,14.7442
Anthocharis,cardamines,Anthocharis_cardamines,Female,34.6012,779.3902,12.7750
Anthocharis,cardamines,Anthocharis_cardamines,Male,37.3998,751.4737,12.8528
Anthocharis,damone,Anthocharis_damone,Female,31.7178,767.4260,12.8079
Anthocharis,damone,Anthocharis_damone,Male,34.7708,731.6052,12.9103
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,31.1665,719.9502,12.9448
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,28.3679,572.5281,13.4483
Anthocharis,gruneri,Anthocharis_gruneri,Female,22.3466,406.9959,14.2347
Anthocharis,gruneri,Anthocharis_gruneri,Male,29.8944,467.6622,13.9091
Apatura,ilia,Apatura_ilia,Female,44.4388,1671.5649,11.2507
Apatura,ilia,Apatura_ilia,Male,46.1349,1544.4499,11.3998
Apatura,iris,Apatura_iris,Female,47.2374,2309.5240,10.6610
Apatura,iris,Apatura_iris,Male,47.3222,1871.2744,11.0412
Apatura,metis,Apatura_metis,Female,44.0148,1583.1188,11.3530
Apatura,metis,Apatura_metis,Male,37.3150,1109.5267,12.0453
Aphantopus,hyperantus,Aphantopus_hyperantus,Female,26.9686,877.7148,12.5247
Aphantopus,hyperantus,Aphantopus_hyperantus,Male,26.7990,810.7482,12.6913
Aporia,crataegi,Aporia_crataegi,Female,42.5306,1640.7571,11.2856
Aporia,crataegi,Aporia_crataegi,Male,42.9123,1358.2582,11.6463
Araschnia ,levana,Araschnia _levana,Female,24.0851,466.8171,13.9133
Araschnia ,levana,Araschnia _levana,Male,23.7459,413.0913,14.1995
Archon,apollinus,Archon_apollinus,Female,40.4529,1061.8244,12.1338
Archon,apollinus,Archon_apollinus,Male,43.6755,1335.3906,11.6793
Arethusana,arethusa,Arethusana_arethusa,Female,14.9260,269.2796,15.2482
Arethusana,arethusa,Arethusana_arethusa,Male,30.7849,777.4231,12.7803
Argynnis,laodice,Argynnis_laodice,Female,20.8201,393.7479,14.3133
Argynnis,laodice,Argynnis_laodice,Male,41.9794,1312.9761,11.7123
Argynnis,pandora,Argynnis_pandora,Female,49.0184,2001.9567,10.9178
Argynnis,pandora,Argynnis_pandora,Male,52.2834,1823.0758,11.0893
Argynnis,paphia,Argynnis_paphia,Female,40.0288,1626.9660,11.3015
Argynnis,paphia,Argynnis_paphia,Male,42.7427,1640.9333,11.2854
Aricia,agestis,Aricia_agestis,Female,19.9296,317.2552,14.8375
Aricia,agestis,Aricia_agestis,Male,19.5904,247.6958,15.4619
Aricia,anteros,Aricia_anteros,Female,18.8271,278.0541,15.1670
Aricia,anteros,Aricia_anteros,Male,21.5409,334.5633,14.7069
Aricia,artaxerxes,Aricia_artaxerxes,Female,18.9119,264.3638,15.2951
Aricia,artaxerxes,Aricia_artaxerxes,Male,19.9296,259.4839,15.3426
Aricia,cramera,Aricia_cramera,Female,18.8271,317.1725,14.8382
Aricia,cramera,Aricia_cramera,Male,22.0074,304.2014,14.9417
Aricia,montensis,Aricia_montensis,Female,21.6257,377.0656,14.4169
Aricia,montensis,Aricia_montensis,Male,23.1523,397.0923,14.2932
Aricia,morronensis,Aricia_morronensis,Female,21.1169,340.0581,14.6670
Aricia,morronensis,Aricia_morronensis,Male,21.1169,269.8946,15.2424
Aricia,nicias,Aricia_nicias,Female,18.5727,285.9008,15.0969
Aricia,nicias,Aricia_nicias,Male,21.2017,279.5753,15.1533
Azanus,jesous,Azanus_jesous,Female,18.4879,231.8802,15.6327
Azanus,jesous,Azanus_jesous,Male,18.9543,222.0377,15.7460
Azanus,ubaldus,Azanus_ubaldus,Female,10.8553,116.9524,17.5200
Azanus,ubaldus,Azanus_ubaldus,Male,14.5020,142.5171,16.9526
Boloria,aquilonaris,Boloria_aquilonaris,Female,25.1028,578.6127,13.4246
Boloria,aquilonaris,Boloria_aquilonaris,Male,27.3502,503.6376,13.7385
Boloria,chariclea,Boloria_chariclea,Female,27.3926,616.7889,13.2826
Boloria,chariclea,Boloria_chariclea,Male,29.2584,509.5927,13.7116
Boloria,dia,Boloria_dia,Female,25.7813,531.3779,13.6164
Boloria,dia,Boloria_dia,Male,29.4280,524.1245,13.6476
Boloria,eunomia,Boloria_eunomia,Female,27.8166,602.4656,13.3346
Boloria,eunomia,Boloria_eunomia,Male,29.8520,547.8264,13.5474
Boloria,euphrosyne,Boloria_euphrosyne,Female,31.8026,720.0977,12.9444
Boloria,euphrosyne,Boloria_euphrosyne,Male,30.6153,640.5699,13.1991
Boloria,freija,Boloria_freija,Female,28.6223,667.4436,13.1091
Boloria,freija,Boloria_freija,Male,28.7495,555.2955,13.5169
Boloria,frigga,Boloria_frigga,Female,28.1559,656.9645,13.1437
Boloria,frigga,Boloria_frigga,Male,29.7672,676.9840,13.0782
Boloria,graeca,Boloria_graeca,Female,26.4597,603.1381,13.3322
Boloria,graeca,Boloria_graeca,Male,30.4457,552.4331,13.5285
Boloria,improba,Boloria_improba,Female,24.7212,436.7752,14.0683
Boloria,improba,Boloria_improba,Male,23.9155,388.0445,14.3481
Boloria,napaea,Boloria_napaea,Female,28.0711,735.3559,12.8993
Boloria,napaea,Boloria_napaea,Male,31.8026,603.0230,13.3326
Boloria,pales,Boloria_pales,Female,25.4421,536.3261,13.5954
Boloria,pales,Boloria_pales,Male,28.0711,488.0341,13.8107
Boloria,polaris,Boloria_polaris,Female,30.4457,608.1367,13.3138
Boloria,polaris,Boloria_polaris,Male,27.6470,547.3805,13.5493
Boloria,selene,Boloria_selene,Female,29.0039,636.2330,13.2141
Boloria,selene,Boloria_selene,Male,29.3008,456.0396,13.9675
Boloria,thore,Boloria_thore,Female,31.2937,828.3871,12.6459
Boloria,thore,Boloria_thore,Male,29.5128,562.0994,13.4895
Boloria,titania,Boloria_titania,Female,31.7178,826.3193,12.6512
Boloria,titania,Boloria_titania,Male,32.3114,750.5674,12.8554
Borbo,borbonica,Borbo_borbonica,Female,29.8520,363.3033,14.5064
Borbo,borbonica,Borbo_borbonica,Male,27.5622,300.8498,14.9693
Brenthis,daphne,Brenthis_daphne,Female,35.7885,1051.2123,12.1541
Brenthis,daphne,Brenthis_daphne,Male,33.5835,901.3735,12.4693
Brenthis,hecate,Brenthis_hecate,Female,30.0216,694.6912,13.0221
Brenthis,hecate,Brenthis_hecate,Male,32.8203,642.2996,13.1932
Brenthis,ino,Brenthis_ino,Female,29.5128,722.3308,12.9377
Brenthis,ino,Brenthis_ino,Male,33.5835,677.4048,13.0768
Brintesia,circe,Brintesia_circe,Female,20.1840,515.6090,13.6848
Brintesia,circe,Brintesia_circe,Male,46.4742,1903.1214,11.0102
Cacyreus,marshalli,Cacyreus_marshalli,Female,18.1063,284.8544,15.1061
Cacyreus,marshalli,Cacyreus_marshalli,Male,16.6221,208.0956,15.9170
Callophrys,avis,Callophrys_avis,Female,20.2688,369.2261,14.4674
Callophrys,avis,Callophrys_avis,Male,20.2688,343.9635,14.6392
Callophrys,rubi,Callophrys_rubi,Female,18.9967,325.6809,14.7729
Callophrys,rubi,Callophrys_rubi,Male,19.4208,324.5230,14.7817
Carcharodus,alceae,Carcharodus_alceae,Female,28.0711,424.9980,14.1324
Carcharodus,alceae,Carcharodus_alceae,Male,28.4951,355.7119,14.5575
Carcharodus,baeticus,Carcharodus_baeticus,Female,26.2477,344.0282,14.6387
Carcharodus,baeticus,Carcharodus_baeticus,Male,26.2477,325.9830,14.7706
Carcharodus,floccifera,Carcharodus_floccifera,Female,33.2443,541.3139,13.5744
Carcharodus,floccifera,Carcharodus_floccifera,Male,31.2089,427.0262,14.1212
Carcharodus,lavatherae,Carcharodus_lavatherae,Female,28.1559,368.3307,14.4733
Carcharodus,lavatherae,Carcharodus_lavatherae,Male,28.2407,312.7601,14.8728
Carcharodus,orientalis,Carcharodus_orientalis,Female,30.1064,434.7435,14.0792
Carcharodus,orientalis,Carcharodus_orientalis,Male,29.2584,371.1788,14.4547
Carcharodus,stauderi,Carcharodus_stauderi,Female,26.4597,320.8549,14.8097
Carcharodus,stauderi,Carcharodus_stauderi,Male,27.6046,323.7462,14.7876
Carterocephalus,palaemon,Carterocephalus_palaemon,Female,28.9615,329.8164,14.7419
Carterocephalus,palaemon,Carterocephalus_palaemon,Male,24.5940,237.3786,15.5718
Carterocephalus,silvicola,Carterocephalus_silvicola,Female,26.3749,313.1341,14.8699
Carterocephalus,silvicola,Carterocephalus_silvicola,Male,27.6470,303.2772,14.9493
Catopsilia,florella,Catopsilia_florella,Female,40.5377,1571.0431,11.3675
Catopsilia,florella,Catopsilia_florella,Male,44.5236,1719.8354,11.1975
Celastrina,argiolus,Celastrina_argiolus,Female,18.8271,389.5297,14.3390
Celastrina,argiolus,Celastrina_argiolus,Male,21.2017,411.8794,14.2064
Charaxes,jasius,Charaxes_jasius,Male,59.3648,2465.8573,10.5454
Chazara,briseis,Chazara_briseis,Female,38.2903,1731.2134,11.1852
Chazara,briseis,Chazara_briseis,Male,38.1207,1267.4243,11.7814
Chazara,prieuri,Chazara_prieuri,Female,36.5518,1500.2862,11.4550
Chazara,prieuri,Chazara_prieuri,Male,40.7921,1324.6310,11.6951
Coenonympha,arcania,Coenonympha_arcania,Female,21.3713,574.2362,13.4416
Coenonympha,arcania,Coenonympha_arcania,Male,23.4915,522.0028,13.6568
Coenonympha,corinna,Coenonympha_corinna,Female,17.3854,370.6753,14.4580
Coenonympha,corinna,Coenonympha_corinna,Male,19.3360,293.3951,15.0320
Coenonympha,dorus,Coenonympha_dorus,Female,19.1663,463.1742,13.9314
Coenonympha,dorus,Coenonympha_dorus,Male,24.4244,484.1934,13.8289
Coenonympha,gardetta,Coenonympha_gardetta,Female,22.1770,497.3120,13.7674
Coenonympha,gardetta,Coenonympha_gardetta,Male,19.7600,416.9895,14.1773
Coenonympha,glycerion,Coenonympha_glycerion,Female,22.5586,547.4956,13.5488
Coenonympha,glycerion,Coenonympha_glycerion,Male,24.0003,472.2292,13.8866
Coenonympha,hero,Coenonympha_hero,Female,19.2936,481.5683,13.8414
Coenonympha,hero,Coenonympha_hero,Male,23.2795,464.4041,13.9253
Coenonympha,leander,Coenonympha_leander,Female,24.4244,688.5455,13.0413
Coenonympha,leander,Coenonympha_leander,Male,24.9332,602.8288,13.3333
Coenonympha,oedippus,Coenonympha_oedippus,Female,26.1205,665.5089,13.1155
Coenonympha,oedippus,Coenonympha_oedippus,Male,27.9863,682.4285,13.0607
Coenonympha,orientalis,Coenonympha_orientalis,Female,20.0144,534.6935,13.6023
Coenonympha,orientalis,Coenonympha_orientalis,Male,23.4915,518.1982,13.6734
Coenonympha,pamphilus,Coenonympha_pamphilus,Female,21.1593,508.8231,13.7151
Coenonympha,pamphilus,Coenonympha_pamphilus,Male,20.3536,388.8320,14.3433
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Female,24.2548,571.2083,13.4535
Coenonympha,rhodopensis,Coenonympha_rhodopensis,Male,25.6117,563.2106,13.4851
Coenonympha,thyrsis,Coenonympha_thyrsis,Female,19.5056,422.0133,14.1490
Coenonympha,thyrsis,Coenonympha_thyrsis,Male,18.1487,341.0255,14.6601
Coenonympha,tullia,Coenonympha_tullia,Female,23.1947,624.6571,13.2545
Coenonympha,tullia,Coenonympha_tullia,Male,24.6788,571.8916,13.4508
Colias,alfacariensis,Colias_alfacariensis,Female,38.2055,1161.3609,11.9541
Colias,alfacariensis,Colias_alfacariensis,Male,37.1030,1020.3290,12.2146
Colias,aurorina,Colias_aurorina,Female,38.3327,1298.8110,11.7335
Colias,aurorina,Colias_aurorina,Male,42.5730,1123.2458,12.0207
Colias,caucasica,Colias_caucasica,Female,36.7638,1222.3471,11.8526
Colias,caucasica,Colias_caucasica,Male,37.2726,1075.9930,12.1070
Colias,chrysotheme,Colias_chrysotheme,Female,32.6930,738.4234,12.8903
Colias,chrysotheme,Colias_chrysotheme,Male,16.0285,183.7895,16.2496
Colias,crocea,Colias_crocea,Female,34.7284,1090.9384,12.0792
Colias,crocea,Colias_crocea,Male,38.3327,1035.2132,12.1852
Colias,erate,Colias_erate,Female,33.4987,1026.4208,12.2025
Colias,erate,Colias_erate,Male,37.3998,865.9016,12.5530
Colias,hecla,Colias_hecla,Female,32.3962,835.1801,12.6287
Colias,hecla,Colias_hecla,Male,34.8980,770.1374,12.8004
Colias,hyale,Colias_hyale,Female,34.0075,1036.2561,12.1831
Colias,hyale,Colias_hyale,Male,37.7815,915.9162,12.4362
Colias,myrmidone,Colias_myrmidone,Female,32.5658,1031.2144,12.1930
Colias,myrmidone,Colias_myrmidone,Male,37.6542,952.4130,12.3555
Colias,palaeno,Colias_palaeno,Female,31.2089,952.3411,12.3557
Colias,palaeno,Colias_palaeno,Male,33.2019,937.7049,12.3876
Colias,phicomone,Colias_phicomone,Female,31.6754,888.2729,12.4998
Colias,phicomone,Colias_phicomone,Male,34.3468,843.4224,12.6081
Colotis,evagore,Colotis_evagore,Female,26.9262,539.0663,13.5838
Colotis,evagore,Colotis_evagore,Male,26.9686,467.2702,13.9110
Cupido,alcetas,Cupido_alcetas,Female,18.8271,378.0905,14.4104
Cupido,alcetas,Cupido_alcetas,Male,17.9366,244.4522,15.4958
Cupido,argiades,Cupido_argiades,Female,19.1663,315.3421,14.8525
Cupido,argiades,Cupido_argiades,Male,21.2017,338.5765,14.6777
Cupido,decoloratus,Cupido_decoloratus,Female,17.1734,247.4261,15.4647
Cupido,decoloratus,Cupido_decoloratus,Male,19.7176,288.1664,15.0771
Cupido,lorquinii,Cupido_lorquinii,Female,15.6045,213.0115,15.8552
Cupido,lorquinii,Cupido_lorquinii,Male,17.0462,204.3952,15.9646
Cupido,minimus,Cupido_minimus,Female,13.4843,186.0443,16.2166
Cupido,minimus,Cupido_minimus,Male,15.6893,189.5289,16.1666
Cupido,osiris,Cupido_osiris,Female,16.7918,242.7296,15.5141
Cupido,osiris,Cupido_osiris,Male,17.4702,247.5376,15.4635
Cyaniris,semiargus,Cyaniris_semiargus,Female,21.0321,402.1196,14.2633
Cyaniris,semiargus,Cyaniris_semiargus,Male,25.4421,491.7345,13.7933
Cyclyrius,webbianus,Cyclyrius_webbianus,Female,19.3360,339.3137,14.6724
Cyclyrius,webbianus,Cyclyrius_webbianus,Male,22.3890,337.9868,14.6820
Danaus,chrysippus,Danaus_chrysippus,Male,48.1703,1913.3703,11.0004
Danaus,plexippus,Danaus_plexippus,Female,57.4990,2905.4843,10.2612
Danaus,plexippus,Danaus_plexippus,Male,61.3154,3420.8739,9.9859
Erebia,aethiopella,Erebia_aethiopella,Female,23.5763,578.7098,13.4243
Erebia,aethiopella,Erebia_aethiopella,Male,24.2548,566.2169,13.4731
Erebia,aethiops,Erebia_aethiops,Female,26.3749,789.9735,12.7463
Erebia,aethiops,Erebia_aethiops,Male,30.1064,795.5906,12.7313
Erebia,albergana,Erebia_albergana,Female,28.6223,748.4314,12.8615
Erebia,albergana,Erebia_albergana,Male,29.8520,807.2923,12.7004
Erebia,arvernensis,Erebia_arvernensis,Female,23.2371,534.4777,13.6032
Erebia,calcarius,Erebia_calcarius,Female,23.9155,560.6394,13.4954
Erebia,calcarius,Erebia_calcarius,Male,26.8838,572.1828,13.4496
Erebia,cassioides,Erebia_cassioides,Female,22.5586,566.6988,13.4712
Erebia,cassioides,Erebia_cassioides,Male,24.2548,523.5456,13.6501
Erebia,christi,Erebia_christi,Female,24.0003,471.0785,13.8922
Erebia,christi,Erebia_christi,Male,29.3008,549.0671,13.5423
Erebia,claudina,Erebia_claudina,Female,20.9897,398.4264,14.2852
