genus,species,genusSpecies,sex,fw_length,fw_breadth,fw_fan,fw_stretch,fw_area,fw_ar,fw_circ,fw_rough,hw_length,hw_breadth,hw_fan,hw_stretch,hw_area,hw_ar,hw_circ,hw_rough
Aglais,ichnusa,Aglais_ichnusa,Male,0.6432,0.3701,0.4721,0.5667,141.3119,1.7377,0.6651,1.0153,0.5570,0.4466,0.4842,0.4903,148.2913,1.2473,0.7027,1.0310
Aglais,io,Aglais_io,Male,0.7083,0.4104,0.4948,0.6458,194.4938,1.7259,0.6462,1.0307,0.5604,0.4969,0.5573,0.5115,201.3656,1.1279,0.7199,1.0285
Aglais,urticae,Aglais_urticae,Female,0.7692,0.4217,0.5192,0.7129,172.4258,1.8241,0.6677,1.0115,0.6003,0.5110,0.5646,0.5412,167.8558,1.1747,0.7530,1.0258
Agriades,aquilo,Agriades_aquilo,Female,0.7524,0.3568,0.4636,0.6917,86.0049,2.1088,0.7049,0.9545,0.6262,0.3956,0.4782,0.5922,83.7257,1.5828,0.7959,0.9522
Agriades,aquilo,Agriades_aquilo,Male,0.6792,0.3231,0.4340,0.6085,70.1580,2.1022,0.6717,0.9490,0.5472,0.3443,0.4245,0.5118,67.1580,1.5890,0.7836,0.9486
Agriades,dardanus,Agriades_dardanus,Female,0.7146,0.3611,0.4495,0.6540,78.9394,1.9790,0.7325,0.9435,0.6086,0.3813,0.4596,0.5606,73.8763,1.5960,0.8544,0.9488
Agriades,dardanus,Agriades_dardanus,Male,0.7488,0.4049,0.5073,0.6732,93.6024,1.8494,0.6892,0.9510,0.6341,0.4098,0.4512,0.5927,81.8805,1.5476,0.7940,0.9549
Agriades,glandon,Agriades_glandon,Female,0.7475,0.3848,0.4975,0.6642,85.8701,1.9427,0.6728,0.9664,0.6127,0.4191,0.4632,0.5686,81.4142,1.4620,0.8660,0.9549
Agriades,glandon,Agriades_glandon,Male,0.6859,0.3519,0.4632,0.5984,89.3439,1.9492,0.6989,0.9769,0.5606,0.3817,0.4175,0.5268,84.9483,1.4688,0.7755,0.9596
Agriades,optilete,Agriades_optilete,Female,0.7305,0.3853,0.5035,0.6714,95.1797,1.8957,0.7500,0.9598,0.6170,0.4610,0.4988,0.5697,94.6998,1.3385,0.9683,0.9592
Agriades,optilete,Agriades_optilete,Male,0.6847,0.3829,0.4820,0.6171,90.4122,1.7882,0.7557,0.9576,0.5901,0.4167,0.4437,0.5586,85.7973,1.4162,0.8906,0.9550
Agriades,pyrenaicus,Agriades_pyrenaicus,Male,0.7077,0.3782,0.4733,0.6241,85.9397,1.8712,0.7722,0.9536,0.5963,0.3968,0.4246,0.5615,79.2111,1.5029,0.8968,0.9536
Agriades,pyrenaicus,Agriades_pyrenaicus,Female,0.7854,0.4192,0.5278,0.7121,97.4066,1.8735,0.7586,0.9659,0.6616,0.4646,0.5227,0.6010,94.4823,1.4239,0.7469,0.9568
Agriades,zullichi,Agriades_zullichi,Female,0.7711,0.3789,0.4842,0.7026,84.3263,2.0347,0.7046,0.9582,0.6368,0.4421,0.4868,0.5974,83.6395,1.4405,0.8369,0.9525
Agriades,zullichi,Agriades_zullichi,Male,0.6982,0.3716,0.4730,0.6239,88.0180,1.8788,0.6857,0.9519,0.5946,0.4122,0.4550,0.5518,83.4234,1.4426,0.7972,0.9576
Albulina,orbitulus,Albulina_orbitulus,Female,0.7841,0.4000,0.5114,0.7114,106.7227,1.9602,0.7167,0.9644,0.6727,0.4614,0.4909,0.6364,105.8727,1.4581,0.8344,0.9646
Albulina,orbitulus,Albulina_orbitulus,Male,0.7223,0.3737,0.4676,0.6451,95.9228,1.9330,0.7265,0.9719,0.6180,0.4092,0.4489,0.5846,95.3674,1.5102,0.8780,0.9601
Anthocharis,cardamines,Anthocharis_cardamines,Female,0.6581,0.3076,0.3775,0.6066,131.9706,2.1394,0.7176,0.9760,0.5380,0.3934,0.4289,0.4926,133.6324,1.3676,0.8271,0.9811
Anthocharis,cardamines,Anthocharis_cardamines,Male,0.5669,0.2914,0.3662,0.5068,112.4263,1.9455,0.7372,0.9712,0.4875,0.3764,0.4082,0.4524,124.5147,1.2952,0.8666,0.9795
Anthocharis,damone,Anthocharis_damone,Female,0.7193,0.3449,0.4332,0.6444,144.5307,2.0853,0.6980,0.9743,0.5668,0.4385,0.4652,0.5067,140.7701,1.2927,0.8415,0.9777
Anthocharis,damone,Anthocharis_damone,Male,0.6415,0.3073,0.3902,0.5756,124.6305,2.0873,0.7386,0.9715,0.5244,0.3780,0.4220,0.4671,123.4720,1.3871,0.8644,0.9800
Anthocharis,euphenoides,Anthocharis_euphenoides,Female,0.7075,0.3279,0.4190,0.6354,129.5551,2.1577,0.7068,0.9702,0.5986,0.4218,0.4789,0.5279,142.8299,1.4194,0.8740,0.9745
Anthocharis,euphenoides,Anthocharis_euphenoides,Male,0.6951,0.3199,0.4051,0.6323,115.6353,2.1729,0.7222,0.9695,0.5919,0.3857,0.4649,0.5306,122.3438,1.5349,0.8595,0.9750
Anthocharis,gruneri,Anthocharis_gruneri,Female,0.7742,0.3567,0.4383,0.7135,109.4080,2.1702,0.6965,0.9592,0.6186,0.4156,0.4820,0.5560,105.3491,1.4886,0.8610,0.9666
Anthocharis,gruneri,Anthocharis_gruneri,Male,0.5915,0.2950,0.3716,0.5277,93.7617,2.0048,0.7217,0.9630,0.4851,0.3362,0.3816,0.4397,90.7021,1.4430,0.8691,0.9710
Apatura,ilia,Apatura_ilia,Female,0.7653,0.4122,0.5019,0.6527,219.6050,1.8565,0.6719,1.0110,0.5945,0.4456,0.5229,0.5496,223.9323,1.3340,0.7802,1.0022
Apatura,ilia,Apatura_ilia,Male,0.7077,0.4044,0.5018,0.5974,204.7031,1.7500,0.6989,1.0133,0.5018,0.4596,0.4954,0.4963,190.0386,1.0920,0.7739,1.0050
Apatura,iris,Apatura_iris,Female,0.8276,0.4722,0.5664,0.7011,302.3025,1.7529,0.7202,1.0122,0.6266,0.5009,0.5646,0.5952,274.2056,1.2509,0.7549,1.0093
Apatura,iris,Apatura_iris,Male,0.7581,0.4391,0.5341,0.6183,238.9875,1.7265,0.6807,1.0088,0.5690,0.4418,0.5287,0.5367,227.2867,1.2880,0.7622,1.0038
Apatura,metis,Apatura_metis,Female,0.7746,0.3950,0.4807,0.6753,214.6667,1.9610,0.6645,1.0127,0.5829,0.4865,0.5376,0.5222,209.4489,1.1980,0.7285,1.0114
Apatura,metis,Apatura_metis,Male,0.7636,0.4045,0.4943,0.6693,180.5386,1.8876,0.6689,1.0168,0.5216,0.4602,0.5591,0.4966,170.0705,1.1333,0.7628,1.0025
Aphantopus,hyperantus,Aphantopus_hyperantus,Female,0.8695,0.4701,0.5582,0.7862,195.7531,1.8495,0.7082,0.9871,0.7060,0.5377,0.5739,0.6714,188.0110,1.3129,0.8035,0.9833
Aphantopus,hyperantus,Aphantopus_hyperantus,Male,0.8339,0.4699,0.5617,0.7468,185.7389,1.7744,0.7626,0.9794,0.6598,0.5396,0.5633,0.6329,170.9889,1.2229,0.8136,0.9967
Aporia,crataegi,Aporia_crataegi,Female,0.7827,0.4138,0.5055,0.6849,230.5424,1.8916,0.7364,0.9936,0.6311,0.4596,0.4766,0.6002,224.3529,1.3731,0.8958,0.9864
Aporia,crataegi,Aporia_crataegi,Male,0.6947,0.3528,0.4555,0.6057,186.6354,1.9692,0.7295,0.9830,0.5702,0.4279,0.4407,0.5395,186.5889,1.3326,0.8754,0.9839
Araschnia ,levana,Araschnia _levana,Female,0.7482,0.3838,0.4877,0.6849,121.4032,1.9495,0.7015,0.9843,0.6109,0.4137,0.4771,0.5440,107.1391,1.4766,0.7336,0.9987
Araschnia ,levana,Araschnia _levana,Male,0.7375,0.3661,0.4714,0.6554,107.7089,2.0146,0.6845,0.9776,0.5518,0.3946,0.4821,0.5054,97.4196,1.3982,0.7425,0.9893
Archon,apollinus,Archon_apollinus,Female,0.6929,0.3574,0.4811,0.5881,172.1824,1.9384,0.6078,0.9831,0.5493,0.3333,0.4046,0.4916,137.3260,1.6478,0.3738,1.0026
Archon,apollinus,Archon_apollinus,Male,0.7320,0.3699,0.5184,0.6175,200.4136,1.9790,0.4975,0.9878,0.5854,0.3495,0.4243,0.5087,160.1146,1.6750,0.5093,0.9928
Arethusana,arethusa,Arethusana_arethusa,Female,0.8551,0.5142,0.5966,0.7557,109.9972,1.6630,0.7431,0.9582,0.7131,0.5369,0.5909,0.6562,102.7330,1.3280,0.7941,0.9756
