"feature","IncNodePurity","mean_shap","sd_shap","SHAP"
"hw.pat.VH.mean",0.842277469391746,0.0111452630365935,0.027228016399144,"0.011 ± 0.027"
"hw.pat.L.mean",1.10254895136631,0.00543581807103278,0.0234216183284871,"0.005 ± 0.023"
"body.length",0.304901814377867,0.00244755074016912,0.0103733847241586,"0.002 ± 0.01"
"fw.pat.L.mean",0.79273887586224,0.00201526809675984,0.0160947675667787,"0.002 ± 0.016"
"hw.pat.P.stdev",0.344481931606661,0.00184829431061361,0.00660350590929488,"0.002 ± 0.007"
"hw.shp.rough",0.3436232658624,0.00126634795639404,0.0107664444578167,"0.001 ± 0.011"
"PCo3",0.172169717043305,-0.00114234549520398,0.00464475795921194,"-0.001 ± 0.005"
"hw.pat.DR.mean",0.133287688376417,0.00113688532932325,0.00322794636045754,"0.001 ± 0.003"
"fw.pat.VH.mean",0.276395127985472,0.0010883572670883,0.00665298164181126,"0.001 ± 0.007"
"hw.pat.L.x",0.206586705678044,0.000781942917119753,0.00739874052906437,"0.001 ± 0.007"
"hw.pat.L.stdev",0.335513285458713,0.000733183677297893,0.00707254159580224,"0.001 ± 0.007"
"fw.shp.length",0.126667246396448,-0.0000855784724164638,0.00223842263091329,"0 ± 0.002"
"hw.shp.length",0.178750230938062,-0.0000849790707373772,0.00232652315621945,"0 ± 0.002"
"PCo2",0.265280803803827,-0.0000643710627760395,0.00554598988574989,"0 ± 0.006"
"hw.pat.P.x",0.202463955784444,0.00000198719028878355,0.00476214895809455,"0 ± 0.005"
