"Population","Generation","ID","Wing","L_mean","L_stdev","L_x","L_y","P_mean","P_stdev","P_x","P_y","E_mean","E_stdev","E_x","E_y","VH_mean","VH_stdev","VH_x","VH_y","OA_mean","OA_stdev","OA_x","OA_y","DR_mean","DR_stdev","DR_x","DR_y"
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID0","forewing",52.9991,24.0944,-0.0342,7.82e-15,0.3116,0.0586,-1e-04,-2.108e-17,0.3707,0.0688,5e-04,1.686e-17,0.014,0.0788,-3e-04,3.952e-18,-0.0374,0.0879,7e-04,3.294e-19,-0.0406,0.0631,-5e-04,-2.371e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID0","hindwing",76.2625,52.315,0.0545,-6.307e-15,0.2459,0.0329,4.625e-05,3.965e-17,1.0099,0.2453,-6e-04,8.274e-17,-0.2132,0.2587,-0.0029,1.982e-17,0.0931,0.1979,0.0019,-5.171e-18,-0.0535,0.1702,0.001,5.602e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID1","forewing",27.9436,8.9786,-0.1379,-2.085e-15,0.2692,0.0681,1e-04,2.53e-17,0.1782,0.0655,-2e-04,2.319e-17,-0.0042,0.0591,-5.561e-05,-5.797e-18,-0.0501,0.0478,-2e-04,1.647e-19,0.0046,0.0352,2e-04,7.905e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID1","hindwing",28.2035,9.9627,0.0024,-4.205e-15,0.261,0.0628,-5e-04,1.724e-18,0.2159,0.0915,0.0025,-1.293e-17,0.003,0.0526,-2e-04,-1.81e-17,0.03,0.0505,3e-04,-3.986e-18,-0.0222,0.0413,-6e-04,4.74e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID2","forewing",95.0198,27.0913,0.0159,-3.128e-15,0.286,0.0408,5.712e-06,1.686e-17,0.4099,0.1063,8.958e-07,-2.53e-17,0.0263,0.1074,-8e-04,1.054e-17,-0.0046,0.0775,1e-04,1.449e-18,-0.0465,0.0595,-2.037e-05,8.432e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID2","hindwing",103.452,21.7629,0.1035,-4.625e-15,0.3037,0.0602,3e-04,-2.413e-17,0.4138,0.1116,-5e-04,1.896e-17,-0.0083,0.0837,-7e-04,7.811e-19,-0.0432,0.0574,-8.578e-05,3.232e-18,-0.0653,0.0476,-1e-04,-8.08e-20
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID3","forewing",107.3511,30.823,0.0176,0,0.253,0.0345,5.62e-05,2.319e-17,0.4986,0.2687,-0.0027,-1.792e-17,0.0802,0.1296,9e-04,7.905e-19,0.0175,0.0987,-5e-04,4.282e-19,-0.0457,0.0942,0.0012,3.425e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID3","hindwing",113.0997,32.3325,-0.1328,2.523e-15,0.2358,0.0283,-1e-04,1.207e-17,0.4957,0.3018,-0.0038,-5.171e-17,-0.034,0.1619,0.0023,2.241e-17,0.0302,0.0979,-5e-04,2.586e-18,-0.0507,0.0785,4.61e-05,-6.195e-19
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID4","forewing",58.978,19.8424,-0.09,3.649e-15,0.2461,0.0449,3.182e-05,-2.74e-17,0.3114,0.1215,0.0013,5.27e-18,-0.0216,0.1209,-9e-04,1.581e-17,0.0302,0.0754,4e-04,6.587e-20,-0.0054,0.0588,1e-04,4.479e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID4","hindwing",58.937,13.0482,-0.0291,7.989e-15,0.2707,0.0479,-3e-04,-1.724e-17,0.2417,0.0931,0.002,-9.481e-18,0.0027,0.0537,-2.418e-05,5.602e-18,-0.0274,0.0498,4e-04,-2.478e-18,-0.0296,0.035,-5e-04,1.401e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID5","forewing",130.2778,51.6631,0.3816,7.82e-15,0.2375,0.0322,7.272e-05,-2.319e-17,0.7173,0.3251,0.0026,-6.324e-17,-0.0572,0.1968,-0.0013,8.432e-18,-0.0656,0.1219,-9.857e-06,1.159e-17,-0.0796,0.1038,-4e-04,-3.689e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID5","hindwing",80.6422,21.3531,-0.0311,-7.569e-15,0.2382,0.0371,-6e-04,2.241e-17,0.4279,0.1405,0.0016,1.724e-17,-0.0503,0.1187,-8e-04,1.724e-18,0.088,0.099,4e-04,-1.724e-18,-0.0072,0.0665,-2e-04,2.478e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID6","forewing",185.205,38.2821,0.1427,1.095e-14,0.2549,0.0485,-2e-04,3.794e-17,0.7289,0.2135,0.001,-6.535e-17,-0.2195,0.1806,1.761e-05,-3.162e-18,-0.2006,0.1612,2.787e-06,-1.186e-18,0.0523,0.1141,-2e-04,2.635e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID6","hindwing",142.8225,29.2301,0.0448,-7.989e-15,0.2344,0.0338,-8.723e-05,-1.379e-17,0.6342,0.1914,0.0026,3.792e-17,-0.11,0.1494,-0.0018,-7.757e-18,-0.0057,0.1036,0.0011,1.293e-18,-0.0735,0.0953,-2e-04,-1.832e-18
"Papilio_machaon_BF_1",0,"Gen0_Mut0_ID7","forewing",184.8088,54.5218,0.1869,-1.043e-14,0.2585,0.0479,-6.104e-05,-3.373e-17,0.9975,0.3068,0.0011,-5.481e-17,-0.1469,0.2386,-0.0017,0,-0.0425,0.2255,6e-04,2.108e-18,-0.092,0.1462,8.772e-05,4.216e-18
