 ,PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time,imgJ_click_hitbox_R_ctr,imgJ_click_hitbox_G_ctr ,imgJ_click_hitbox_B_ctr,imgJ_click_hitbox_R_rMean_30 ,imgJ_click_hitbox_G_rMean_30,imgJ_click_hitbox_B_rMean_30,imgJ_click_hitbox_R_rMode_30 ,imgJ_click_hitbox_G_rMode_30,imgJ_click_hitbox_B_rMode_30,imgJ_click_hitbox_R_rMean_10 ,imgJ_click_hitbox_G_rMean_10,imgJ_click_hitbox_B_rMean_10,imgJ_click_hitbox_R_rMode_10 ,imgJ_click_hitbox_G_rMode_10,imgJ_click_hitbox_B_rMode_10,imgJ_click_hitbox_30_Forewing ,imgJ_click_hitbox_30_Hindwing ,imgJ_click_hitbox_30_Body,imgJ_click_hitbox_30_Tail ,imgJ_click_hitbox_10_Forewing ,imgJ_click_hitbox_10_Hindwing ,imgJ_click_hitbox_10_Body,imgJ_click_hitbox_10_Tail ,imgJ_click_img_L_ctr,imgJ_click_img_L_rMean_30,imgJ_click_img_L_rMode_30,imgJ_click_img_A_rMean_30,imgJ_click_img_A_rMode_30,imgJ_click_img_B_rMean_30,imgJ_click_img_B_rMode_30,imgJ_click_img_L_rMean_10,imgJ_click_img_L_rMode_10,imgJ_click_img_A_rMean_10,imgJ_click_img_A_rMode_10,imgJ_click_img_B_rMean_10,imgJ_click_img_B_rMode_10
1,P056,right,1,1,1,Lycaena_tityrus__Female,7,0,0,1,728,893,-150.074,30.771,""Left"",""Back"",255,255,52,1.077,120,1,752.150,912.069,8.368,1.082,225.552,2026-02-04,13:46:39,255.000,255.000,60.000,156.349,143.398,32.255,255,0,0,255.000,235.256,57.878,255,255,58,1,1,0,0,1,1,0,0,39.653,44.678,46.492,3.070,0.220,4.334,0.651,41.508,36.712,2.729,0.425,5.582,4.811
2,P056,right,1,1,2,Brintesia_circe__Male,4,1,1,1,1450,449,-149.659,117.315,""Left"",""Back"",0,0,0,0.604,69,0,1336.457,419.490,-195.772,0.608,233.411,2026-02-04,13:46:44,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.226,47.239,0.012,0.007,0.015,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
3,P056,right,1,1,3,Papilio_alexanor__Female,3,1,0,1,1285,589,86.110,82.648,""Right"",""Front"",255,200,58,0.729,82,1,1252.215,664.867,-152.739,0.733,227.772,2026-02-04,13:46:48,0.000,0.000,0.000,69.197,54.206,17.138,0,0,0,0.000,0.000,0.000,0,0,0,1,0,0,0,0,0,0,0,47.240,48.845,47.220,-1.390,-7.123E-4,4.534,-0.069,47.147,47.245,-0.058,0.004,0.162,0.007
4,P056,right,1,2,1,Pyrgus_sidae__Male,10,1,0,1,1180,917,-128.196,46.651,""Left"",""Back"",255,255,98,0.892,133,1,1149.811,881.434,-182.130,0.894,226.015,2026-02-04,13:46:55,255.000,255.000,111.778,250.965,245.119,104.623,255,255,116,255.000,255.000,111.756,255,255,116,1,1,0,0,0,1,0,0,53.677,51.691,49.934,-2.620,-3.072,5.157,6.322,52.444,51.516,-3.247,-3.070,6.518,6.292
5,P056,right,1,2,2,Gonepteryx_cleobule__Male,5,1,0,1,1024,813,-140.546,80.743,""Left"",""Back"",255,232,56,0.652,97,1,1042.700,734.452,-116.063,0.656,227.167,2026-02-04,13:46:59,0.000,0.000,0.000,25.218,25.070,6.393,0,0,0,0.000,0.000,0.000,0,0,0,0,1,0,0,0,0,0,0,47.240,50.440,47.281,-0.770,0.007,7.473,0.146,47.363,47.237,-0.134,0.004,0.463,0.006
6,P056,right,1,3,1,Lycaena_tityrus__Female,4,1,1,1,848,473,127.967,183.075,""Right"",""Back"",0,0,0,0.777,176,0,856.962,655.855,-220.773,0.781,227.957,2026-02-04,13:47:05,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
7,P056,right,1,3,2,Gonepteryx_cleobule__Male,9,0,0,1,822,870,141.298,73.636,""Right"",""Back"",255,255,40,0.767,173,1,870.006,814.164,-10.610,0.771,226.960,2026-02-04,13:47:10,255.000,255.000,53.000,117.009,116.904,31.142,0,0,0,251.731,251.077,52.115,255,255,41,0,1,0,0,0,1,0,0,66.419,60.718,53.437,-2.908,-2.299,30.700,13.974,66.312,63.583,-2.009,-2.534,44.582,31.422
8,P056,right,1,3,3,Papilio_alexanor__Female,6,0,1,1,1224,638,23.326,284.229,""Right"",""Front"",0,0,0,0.602,134,0,1080.162,392.853,-323.727,0.607,224.003,2026-02-04,13:47:14,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
9,P056,right,1,3,4,Brintesia_circe__Male,3,1,1,1,741,548,40.738,107.568,""Right"",""Front"",255,200,54,0.742,168,1,848.133,557.662,-215.585,0.747,227.646,2026-02-04,13:47:18,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,46.803,47.230,0.095,0.007,0.817,0.006,47.042,47.237,0.052,0.007,0.254,1.953E-4
10,P056,right,0,4,1,Papilio_alexanor__Female,4,1,1,1,779,463,104.467,193.482,""Right"",""Back"",0,0,0,0.704,171,0,869.641,633.937,-222.402,0.708,244.263,2026-02-04,13:47:31,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
11,P056,right,0,4,2,Gonepteryx_cleobule__Male,7,0,1,1,1015,246,20.029,182.194,""Right"",""Front"",0,0,0,0.644,145,0,848.410,172.229,-356.143,0.649,226.479,2026-02-04,13:47:35,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
12,P056,right,0,4,3,Brintesia_circe__Male,3,1,0,1,891,519,32.122,48.343,""Right"",""Front"",255,116,19,0.664,151,1,918.882,558.492,-157.345,0.668,229.143,2026-02-04,13:47:39,0.000,0.000,0.000,1.816,1.346,0.133,0,0,0,0.000,0.000,0.000,0,0,0,1,0,0,0,0,0,0,0,46.895,47.080,46.849,0.156,0.009,0.679,0.008,46.802,46.923,0.133,0.389,0.548,0.128
13,P056,right,0,4,4,Lycaena_tityrus__Female,2,0,1,1,884,263,-2.628,30.111,""Left"",""Front"",255,200,37,0.687,157,1,858.114,278.381,-28.089,0.691,229.995,2026-02-04,13:47:43,0.000,0.000,0.000,56.487,31.393,15.809,0,0,0,27.788,5.417,9.327,0,0,0,1,1,1,0,1,0,1,0,45.767,45.515,46.840,2.398,0.012,3.376,0.039,45.837,46.808,-0.089,-0.192,1.611,0.553
14,P056,right,0,4,5,Pyrgus_sidae__Male,10,1,0,1,892,879,-54.110,71.076,""Left"",""Front"",255,111,61,0.804,181,1,941.124,827.633,-172.168,0.808,226.486,2026-02-04,13:47:47,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.275,47.248,-0.004,0.006,0.009,-0.002,47.240,47.240,0.007,0.007,-0.003,-0.003
15,P056,right,0,4,6,Brintesia_circe__Male,9,0,0,1,637,697,-129.661,169.837,""Left"",""Back"",0,0,0,0.605,140,0,710.598,850.062,13.982,0.611,232.299,2026-02-04,13:47:51,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
16,P056,right,0,4,7,Gonepteryx_cleobule__Male,1,1,1,1,953,760,-64.771,163.485,""Left"",""Front"",0,0,0,0.601,137,0,1022.340,611.948,-180.133,0.605,229.616,2026-02-04,13:47:55,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
17,P056,right,0,4,8,Lycaena_tityrus__Female,8,1,1,1,1059,301,-50.996,74.623,""Left"",""Front"",255,111,3,0.700,158,1,1098.585,237.741,-186.967,0.704,227.397,2026-02-04,13:47:59,0.000,0.000,0.000,0.403,0.176,0.006,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,46.895,46.666,46.838,0.535,0.004,0.691,0.006,46.825,46.839,0.200,0.005,0.298,-0.001
18,P056,right,0,4,9,Pyrgus_sidae__Male,6,0,0,1,1096,563,-52.098,137.011,""Left"",""Front"",0,0,0,0.595,133,0,1083.275,699.419,-32.573,0.599,225.397,2026-02-04,13:48:03,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.240,47.240,0.007,0.007,-0.003,-0.003,47.240,47.240,0.007,0.007,-0.003,-0.003
19,P056,right,0,4,10,Papilio_alexanor__Female,5,1,1,1,680,397,54.587,146.090,""Right"",""Front"",0,0,0,0.672,152,0,795.255,486.770,-196.673,0.677,227.564,2026-02-04,13:48:11,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,47.240,47.230,47.239,-0.004,0.006,0.025,-9.679E-5,47.240,47.240,0.007,0.007,-0.003,-0.003
