PlayerID,Handedness,Tutorial,Phase,trialNumber,butterfly,pathNumber,flipX,flipY,click,clickX,clickY,clickDeg,clickDist,clickLeftRight,clickFrontBack,clickRGB_R,clickRGB_G,clickRGB_B,clickTime,clickFrame,clickHit,butterflyX,butterflyY,butterflyDeg,stimuliDuration,displayRate,Date,Time
P039,right,1,1,1,Papilio_alexanor__Female,01,1,0,1,767,537,146.929104489251,69.6964020962407,"""Right""","""Back""",255,100,41,1.7434219,200,1,703.593360489925,565.934175834128,-171.457609559482,1.7475134,231.185928879884,2026-02-03,12:55:17
P039,right,1,1,2,Lycaena_tityrus__Female,07,1,1,1,1427,253,-135.807002882495,68.6616648288154,"""Left""","""Back""",255,255,39,0.6111294,69,1,1375.81033380249,207.239293147371,-182.398058963165,0.6151418,230.841534439444,2026-02-03,12:55:23
P039,right,1,2,1,Lycaena_tityrus__Female,10,1,1,1,1095,170,117.539391479305,40.992733952754,"""Right""","""Back""",255,255,69,0.9639932,150,1,1078.08899208344,207.341960957714,-183.175104110839,0.9679905,235.539793673339,2026-02-03,12:55:30
P039,right,1,2,2,Brintesia_circe__Male,04,1,0,1,1461,700,179.484670356063,155.13902635299,"""Right""","""Back""",0,0,0,0.4830296,73,0,1311.25752304526,659.437602472074,-164.328055869295,0.4869713,232.04705339259,2026-02-03,12:55:35
P039,right,1,2,3,Gonepteryx_cleobule__Male,03,0,0,1,604,640,-110.898509304995,50.2510916629453,"""Left""","""Back""",255,255,99,0.4875388,77,1,641.733737165226,673.186402228373,-27.7702218484777,0.4921745,239.752753956581,2026-02-03,12:55:39
P039,right,1,3,1,Gonepteryx_cleobule__Male,02,1,1,1,1252,313,-28.0870077743684,32.2846198059027,"""Left""","""Front""",255,200,34,0.4743651,108,1,1276.09805508794,291.515577341005,-193.631329485266,0.4780262,230.113391511577,2026-02-03,12:55:45
P039,right,1,3,2,Brintesia_circe__Male,05,0,0,1,921,736,72.1410006073059,40.330098465862,"""Right""","""Front""",255,200,65,0.4323545,98,1,881.075199723647,730.296740830065,-64.0112972840927,0.4397234,227.416309660963,2026-02-03,12:55:50
P039,right,0,4,1,Lycaena_tityrus__Female,06,0,0,1,653,705,-167.275811415086,240.180606969331,"""Left""","""Back""",0,0,0,0.4192011,101,0,893.046971871704,713.010946222613,-10.8127996501627,0.4231067,243.437929709307,2026-02-03,12:56:06
P039,right,0,4,2,Papilio_alexanor__Female,09,1,0,1,1374,647,113.307998441783,133.564678810201,"""Right""","""Back""",0,0,0,0.3900207,94,0,1388.8696290481,779.734387246275,-209.699933688852,0.3968393,241.912133985051,2026-02-03,12:56:09
P039,right,0,4,3,Pyrgus_sidae__Male,01,0,0,1,843,531,52.7757519088793,122.85768272298,"""Right""","""Front""",255,101,13,0.4738652,107,1,731.210055782094,480.039048519304,-28.2692426057588,0.4783446,227.869625961416,2026-02-03,12:56:12
P039,right,0,4,4,Brintesia_circe__Male,08,1,0,1,1401,777,149.896733413293,79.7857632024842,"""Right""","""Back""",255,200,46,0.4167008,100,1,1345.92447988168,834.727420637852,-196.243460048506,0.4220767,241.66281072329,2026-02-03,12:56:16
P039,right,0,4,5,Gonepteryx_cleobule__Male,03,1,0,1,1161,575,138.110297197424,93.3258053792046,"""Right""","""Back""",255,255,47,0.5208131,119,1,1070.62679973299,598.289281293664,-152.561072349359,0.524998,230.47772699437,2026-02-03,12:56:19
