 ,Label,Left,Right,Up,Down,UpDownContrast
1,Gen0_Mut0_ID0,0.067416127,0.067475031,0.039255268,0.011820763,0.537130724
2,Gen0_Mut0_ID0,0.063759045,0.063782639,0.036259623,0.008775969,0.610265184
3,Gen0_Mut0_ID0,0.060657812,0.060646701,0.033876929,0.006597275,0.674001010
4,Gen0_Mut0_ID0,0.058334410,0.058295674,0.032152915,0.005379009,0.713363554
5,Gen0_Mut0_ID0,0.056846492,0.056793355,0.031020494,0.005016829,0.721575915
6,Gen0_Mut0_ID0,0.056912738,0.056863189,0.030559321,0.005470117,0.696352926
7,Gen0_Mut0_ID0,0.058519246,0.058493529,0.030855428,0.006641535,0.645756108
8,Gen0_Mut0_ID0,0.060210764,0.060228154,0.031846338,0.008254684,0.588305554
9,Gen0_Mut0_ID0,0.061583265,0.061658748,0.033636600,0.010209213,0.534312964
10,Gen0_Mut0_ID0,0.062730349,0.062872006,0.036391717,0.012512448,0.488287015
11,Gen0_Mut0_ID0,0.064002837,0.064210449,0.040392273,0.015361161,0.448960891
12,Gen0_Mut0_ID0,0.064928901,0.065194230,0.045210404,0.018326498,0.423122709
13,Gen0_Mut0_ID0,0.065406664,0.065715019,0.050497643,0.021128347,0.410036868
14,Gen0_Mut0_ID0,0.065469232,0.065802193,0.055958421,0.023576077,0.407148402
15,Gen0_Mut0_ID0,0.065075387,0.065413627,0.061213157,0.025391548,0.413621967
16,Gen0_Mut0_ID0,0.064151562,0.064477564,0.065919847,0.026301549,0.429599845
17,Gen0_Mut0_ID0,0.062556024,0.062856050,0.069810646,0.026067557,0.456236018
18,Gen0_Mut0_ID0,0.060265991,0.060531233,0.072672911,0.024486701,0.495948971
19,Gen0_Mut0_ID0,0.057319247,0.057546116,0.074391531,0.021473619,0.552003641
20,Gen0_Mut0_ID0,0.053739972,0.053929657,0.074990923,0.017144686,0.627838008
21,Gen0_Mut0_ID0,0.049846243,0.050003688,0.074727647,0.011937532,0.724513756
22,Gen0_Mut0_ID0,0.046641581,0.046774202,0.074664663,0.007184799,0.824438697
23,Gen0_Mut0_ID0,0.046191774,0.046308115,0.076065971,0.004478851,0.888786132
24,Gen0_Mut0_ID0,0.047635982,0.047744728,0.078032214,0.003256855,0.919869782
25,Gen0_Mut0_ID0,0.049597810,0.049707051,0.079509646,0.002754033,0.933043765
26,Gen0_Mut0_ID0,0.051838533,0.051955365,0.080309728,0.002977880,0.928491638
27,Gen0_Mut0_ID0,0.054814953,0.054945176,0.080541977,0.004116443,0.902751719
28,Gen0_Mut0_ID0,0.058237152,0.058384976,0.080308659,0.006231710,0.855981431
29,Gen0_Mut0_ID0,0.061039255,0.061207036,0.079263119,0.008835416,0.799419689
30,Gen0_Mut0_ID0,0.062933456,0.063121492,0.077378105,0.011685104,0.737599755
31,Gen0_Mut0_ID0,0.064109891,0.064316531,0.074719663,0.014587586,0.673316864
32,Gen0_Mut0_ID0,0.064692007,0.064914046,0.071337296,0.017315116,0.609370664
33,Gen0_Mut0_ID0,0.064695413,0.064928872,0.067272240,0.019634093,0.548155075
34,Gen0_Mut0_ID0,0.064159105,0.064400056,0.062599937,0.021362984,0.491132898
35,Gen0_Mut0_ID0,0.063050523,0.063295860,0.057444147,0.022398678,0.438930734
36,Gen0_Mut0_ID0,0.061374901,0.061622771,0.052003136,0.022752225,0.391288464
37,Gen0_Mut0_ID0,0.059305331,0.059555085,0.046512273,0.022517762,0.347595243
38,Gen0_Mut0_ID0,0.057042789,0.057294386,0.041154476,0.021785532,0.307736591
39,Gen0_Mut0_ID0,0.054741109,0.054994045,0.036061996,0.020641623,0.271946881
40,Gen0_Mut0_ID0,0.052516630,0.052768426,0.031323569,0.019169386,0.240710470
41,Gen0_Mut0_ID0,0.050319080,0.050563710,0.026989048,0.017446115,0.214760852
42,Gen0_Mut0_ID0,0.048010436,0.048237098,0.023061347,0.015526328,0.195270084
43,Gen0_Mut0_ID0,0.045289103,0.045481996,0.019490724,0.013427639,0.184185482
44,Gen0_Mut0_ID0,0.041982082,0.042121685,0.016234585,0.011183521,0.184223676
45,Gen0_Mut0_ID0,0.038180310,0.038246355,0.013357475,0.008938405,0.198201169
46,Gen0_Mut0_ID0,0.034099900,0.034075567,0.010921062,0.006834962,0.230124742
47,Gen0_Mut0_ID0,0.030016357,0.029892593,0.008973196,0.005002365,0.284126751
48,Gen0_Mut0_ID0,0.026241797,0.026020403,0.007549724,0.003558217,0.359338197
49,Gen0_Mut0_ID0,0.023266443,0.022960754,0.006663161,0.002596398,0.439196125
50,Gen0_Mut0_ID0,0.021606971,0.021239911,0.006347026,0.002227625,0.480416251
51,Gen0_Mut0_ID0,0.021640673,0.021240847,0.006654462,0.002570136,0.442764576
52,Gen0_Mut0_ID0,0.023185610,0.022782695,0.007542302,0.003622325,0.351106783
53,Gen0_Mut0_ID0,0.025856286,0.025477143,0.009000994,0.005379744,0.251812527
54,Gen0_Mut0_ID0,0.029098627,0.028764850,0.010996013,0.007765543,0.172185596
55,Gen0_Mut0_ID0,0.032485344,0.032212178,0.013481290,0.010638769,0.117848859
56,Gen0_Mut0_ID0,0.035730083,0.035526372,0.016438917,0.013838394,0.085890186
57,Gen0_Mut0_ID0,0.038670174,0.038538765,0.019874938,0.017195192,0.072288543
