Label,left_mean,left_min,left_max,left_sd,right_mean,right_min,right_max,right_sd,up_mean,up_min,up_max,up_sd,down_mean,down_min,down_max,down_sd,UpDown_mean
Gen0_Mut0_ID0,0.0513,0.02161,0.06742,0.01201,0.05141,0.02124,0.06748,0.01216,0.0485,0.006347,0.08054,0.02508,0.01427,0.002228,0.03359,0.009087,0.4942
Gen0_Mut0_ID1,0.1832,0.03867,0.2809,0.06673,0.1836,0.03776,0.2811,0.06703,0.1546,0.01509,0.2596,0.07822,0.07026,0.008332,0.1472,0.03961,0.3361
Gen0_Mut0_ID10,0.1189,0.04326,0.1541,0.0305,0.1186,0.042,0.1551,0.03099,0.09963,0.02231,0.1568,0.04074,0.03031,0.005065,0.06194,0.01543,0.5153
Gen0_Mut0_ID11,0.05478,0.01948,0.07655,0.01622,0.05487,0.01964,0.07652,0.01621,0.05721,0.00794,0.09901,0.03033,0.01641,0.002555,0.04066,0.01048,0.4977
Gen0_Mut0_ID12,0.3704,0.1629,0.5352,0.09229,0.3731,0.1638,0.5372,0.09265,0.3421,0.0574,0.577,0.1756,0.07836,0.01472,0.1795,0.04465,0.5723
Gen0_Mut0_ID13,0.5457,0.2003,0.7139,0.1394,0.548,0.1986,0.7175,0.1405,0.5284,0.06312,0.8727,0.2755,0.1292,0.02157,0.295,0.08543,0.5417
Gen0_Mut0_ID14,0.1571,0.04101,0.2311,0.05016,0.1574,0.04116,0.2315,0.0501,0.139,0.01547,0.2078,0.06541,0.05789,0.01013,0.117,0.03154,0.3642
Gen0_Mut0_ID15,0.2718,0.1423,0.3797,0.05888,0.2745,0.1435,0.3835,0.05918,0.22,0.04875,0.3357,0.08825,0.04548,0.008983,0.1185,0.02972,0.6195
Gen0_Mut0_ID16,0.18,0.04475,0.2473,0.05853,0.1802,0.04418,0.2475,0.05878,0.1468,0.02138,0.2463,0.06653,0.06808,0.009598,0.1276,0.03332,0.3373
Gen0_Mut0_ID17,0.1326,0.03782,0.2213,0.04872,0.1325,0.03783,0.2208,0.04861,0.1708,0.01383,0.3069,0.09138,0.05267,0.01021,0.1225,0.03075,0.4415
Gen0_Mut0_ID18,0.02259,0.01142,0.0301,0.005065,0.0227,0.01106,0.03041,0.005231,0.02103,0.005768,0.03883,0.009563,0.002654,0.0007448,0.006116,0.001418,0.7395
Gen0_Mut0_ID19,0.0205,0.005416,0.03506,0.009306,0.02052,0.005322,0.03508,0.009323,0.0147,0.001988,0.02681,0.007375,0.00703,0.00117,0.01201,0.002866,0.3187
Gen0_Mut0_ID2,0.3754,0.1409,0.4915,0.0932,0.3772,0.1397,0.4946,0.09404,0.3509,0.04967,0.5896,0.1829,0.09781,0.01508,0.2275,0.06289,0.5138
Gen0_Mut0_ID20,0.04286,0.007744,0.06501,0.01659,0.04296,0.0075,0.06513,0.01668,0.03768,0.00334,0.07236,0.02046,0.01625,0.001699,0.03914,0.00962,0.3565
Gen0_Mut0_ID21,0.04225,0.02096,0.05486,0.00803,0.04258,0.02089,0.05542,0.008169,0.04334,0.008549,0.07002,0.02086,0.008453,0.0009505,0.02184,0.005848,0.6267
Gen0_Mut0_ID22,0.07624,0.01564,0.112,0.02967,0.07635,0.01549,0.1121,0.02973,0.07765,0.007084,0.1437,0.04219,0.03613,0.003827,0.07412,0.01964,0.3144
Gen0_Mut0_ID23,0.5097,0.2318,0.669,0.1135,0.5124,0.2313,0.6714,0.1142,0.4751,0.08826,0.7803,0.2281,0.1349,0.02185,0.3134,0.07951,0.5233
Gen0_Mut0_ID24,0.08941,0.02035,0.1248,0.02924,0.0896,0.02019,0.125,0.02932,0.08116,0.008701,0.1237,0.0377,0.03442,0.00549,0.0713,0.01874,0.3618
Gen0_Mut0_ID25,0.008315,0.002821,0.01328,0.003161,0.008403,0.002855,0.01336,0.003168,0.005755,0.0009923,0.009224,0.002614,0.002853,0.0002532,0.005535,0.001309,0.3344
Gen0_Mut0_ID26,0.1234,0.06194,0.1589,0.02497,0.1248,0.06288,0.1613,0.02518,0.1065,0.0224,0.1701,0.04782,0.02911,0.004874,0.06011,0.01474,0.5385
Gen0_Mut0_ID27,0.1663,0.06871,0.2165,0.03468,0.1673,0.06902,0.2178,0.03489,0.1575,0.0243,0.265,0.07824,0.03653,0.006012,0.1087,0.02607,0.5729
Gen0_Mut0_ID28,0.1909,0.05336,0.2531,0.05754,0.1915,0.05258,0.2536,0.05788,0.1708,0.02249,0.298,0.08614,0.05927,0.009924,0.1388,0.03312,0.4298
Gen0_Mut0_ID29,0.7279,0.2679,0.9704,0.1837,0.7311,0.2669,0.9747,0.1848,0.7577,0.09724,1.2755,0.4047,0.2059,0.03014,0.5264,0.142,0.5195
Gen0_Mut0_ID3,0.1549,0.04557,0.2241,0.04682,0.1553,0.04496,0.2244,0.04705,0.1412,0.01746,0.2258,0.06878,0.05154,0.008807,0.1086,0.02938,0.4152
Gen0_Mut0_ID30,0.566,0.1685,0.7661,0.167,0.5679,0.1679,0.7673,0.1676,0.5124,0.05577,0.8878,0.2817,0.1616,0.02122,0.3901,0.1025,0.4575
