ID	Parent1	Parent2	Sex	dim_for_xcp	dim_for_ycp	dim_for_wdt	dim_for_asr	dim_for_agl	dim_hnd_xcp	dim_hnd_ycp	dim_hnd_wdt	dim_hnd_asr	dim_hnd_agl	dim_bod_xcp	dim_bod_ycp	dim_bod_wdt	dim_bod_asr	dim_bod_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_xps	ptn_grd_yps	ptn_grd_sin	ptn_bil_sub	ptn_bil_sig	ptn_bil_int	ptn_edg_sig	ptn_edg_rto	ptn_edg_dfm	eem_int_lvl	eem_int_sig	eem_int_exp	eem_int_xst	eem_int_yst	eem_ext_lvl	eem_ext_sig	eem_ext_exp	eem_ext_xst	eem_ext_yst	col_mc1_lmv	col_mc1_rgv	col_mc1_byv	col_mc2_lmv	col_mc2_rgv	col_mc2_byv	col_bg1_lmv	col_bg1_rgv	col_bg1_byv	col_bg2_lmv	col_bg2_rgv	col_bg2_byv	grd_mac_hgt	grd_mac_sig	grd_mac_sin	grd_mac_agl	grd_bgd_hgt	grd_bgd_sig	grd_bgd_sin	grd_bgd_agl	grd_blr_mac	spk_nm1_lgt	spk_nm1_drk	spk_nm1_sig	spk_nm1_ycd	spk_nm2_lgt	spk_nm2_drk	spk_nm2_sig	spk_nm2_ycd
Gen20_Mut0_ID0	Gen17_Mut0_ID9	Gen19_Mut0_ID0	-	0.2300	0.5086	0.4420	0.2295	0.3867	0.7761	0.3100	0.7694	0.9793	0.9789	0.3329	0.1254	0.5149	0.6830	0.9641	0.5386	0.3282	0.5631	0.2172	0.2132	0.5478	0.3815	0.3996	0.0158	0.4045	0.7173	0.8107	0.9953	0.4652	0.3028	0.5351	0.6044	0.1904	0.2687	0.9587	0.7307	0.0930	0.5400	0.0084	0.0001	0.5514	0.0134	0.0010	0.7011	0	0	0.3263	0.0267	0	0.7334	0.5823	0	0.4242	0.6708	0.4702	0.5653	0.0782	0.9630	0.5386	0.5659	0.5586	0.2122	0.2378	0.5656	0.3560	0.3714
Gen20_Mut0_ID1	Gen19_Mut0_ID0	Gen17_Mut0_ID9	-	0.2613	0.5090	0.3354	0.2023	0.8544	0.7891	0.3265	0.7483	0.9179	0.4803	0.3290	0.2614	0.5241	0.7800	0.9472	0.5215	0.3961	0.5073	0.8768	0.1065	0.0152	0.3596	0.4086	0.6431	0.7226	0.3316	0.9425	0.9953	0.3508	0.2608	0.5351	0.6592	0.0746	0.2777	0.9651	0.6174	0.0796	0.5466	0.0020	0	0.5943	0.0156	0.0010	0.6440	0.7427	0.1363	0.3239	0.0267	0	0.7386	0.5784	0.5898	0.4242	0.6708	0.2283	0.5653	0.2074	0.9566	0.5386	0.5659	0.6186	0.2273	0.2132	0.5478	0.5076	0.4407
Gen20_Mut0_ID2	Gen19_Mut0_ID7	Gen19_Mut0_ID6	-	0.3484	0.5086	0.3791	0.2589	0.3867	0.7793	0.2818	0.8179	0.9315	0.4206	0.3329	0.1254	0.5241	0.7979	1	0.5200	0.3631	0.5631	0.6314	0.5401	0.3605	0.4457	0.4632	0.0704	0.4546	0.7172	0.0408	0.5580	0.4652	0.4104	0.5421	0.8598	0.1325	0.2692	0.9651	0.6132	0.0802	0.5450	0.0020	9.861E-5	0.5514	0.0046	0.0052	0.7011	0.7424	0	0.3240	0.0267	0.0290	0.7386	0.5934	0.5898	0.7494	0.2980	0.4844	0.5886	0.2074	0.9558	0.4563	0	0.7856	0.2222	0.2378	0.5656	0.4709	0.4409
Gen20_Mut0_ID3	Gen19_Mut0_ID6	Gen19_Mut0_ID7	-	0.9716	0.4668	0.8186	0.5229	0.6650	0.1564	0.2774	0.9885	0.6329	0.1097	0.3321	0.1254	0.5241	0.7821	0.8996	0.5273	0.3631	0.5069	0.6134	0.2671	0.5439	0.3674	0.3360	0.0123	0.4102	0.7173	0.0408	1	0.4652	0.8300	0.5351	0.6757	0.1325	0.2772	1	0.6218	0.0978	0.5412	0.0084	0	0.8478	0.0146	0.0010	0.6188	0.7424	0	0.3262	0.0267	0	0.7386	0.5829	0.5898	0.4242	0.6827	0.4812	0.5420	0.2074	0.9558	0.5206	0.5668	0.5748	0.2224	0.2378	0.5656	0.5452	0.4299
Gen20_Mut0_ID4	Gen19_Mut0_ID2	Gen19_Mut0_ID3	-	0.3030	0.5086	0.4425	0.0605	0.8546	0.8289	0.3125	0.6627	0.9789	0.4899	0.3247	0.1580	0.5374	0.6650	0.8699	0.5148	0.5615	0.5154	0.6577	0.6727	0.1830	0.4602	0.3996	0.4613	0.3693	0.6883	0.1685	0.9871	0.3447	0.8220	0.5462	0.1305	0.3533	0.2826	0.9518	0.7607	0.1996	0.5502	0.0125	0.0001	0.5772	0.7715	0.0382	0.6652	0	0.1388	0.3490	0.0267	0.1107	0.3064	0.5872	0.3831	0.0859	0.8488	0.7129	0.3188	0.8766	0.9786	0.4332	0	0.6864	0.2332	0.2100	0.5647	0.3560	0.4290
Gen20_Mut0_ID5	Gen19_Mut0_ID3	Gen19_Mut0_ID2	-	0.3031	0.5328	0.3836	0.0839	0.8749	0.7164	0.3180	0.8818	0.2508	0.4679	0.3248	0.1594	0.5276	0.6980	0.8577	0.5076	0.6761	0.5578	0.6033	0.4574	0.1830	0.4600	0.3996	0.4613	0.3891	0.6361	0.0408	0.9927	0.0106	0.9757	0.5462	0.1305	0.8268	0.0968	0.9518	0.5431	0.0040	0.8864	0.0025	0.0017	0.9076	0.2918	0.5965	0.6441	0	0.1499	0.3342	0.0267	0.5200	0.8791	0.5331	0.1001	0.4222	0.6712	0.3773	0.6437	0.0831	0.9579	0.4332	0	0.6971	0.1642	0.9043	0.5651	0.3525	0.3884
Gen20_Mut0_ID6	Gen17_Mut0_ID9	Gen18_Mut0_ID12	-	0.3030	0.5290	0.4430	0.1820	0.9162	0.7761	0.3074	0.6627	0.9812	0.9789	0.3287	0.2614	0.5149	0.6830	0.9455	0.5350	0.5659	0.5631	0.6305	0.6727	0.1830	0.3560	0.3996	0.0885	0.4002	0.6155	0.8107	0.9927	0.3379	0.2532	0.5351	0.6608	0.3533	0.2687	0.9618	0.7307	0.0723	0.5466	0.0075	0.0001	0.9359	0.9116	0	0.6440	0	0.1363	0.3263	0.0267	0	0.8791	0.5784	0	0.4008	0.6708	0.2566	0.5653	0.0249	0.9639	0.4332	0	0.5862	0.2172	0.2132	0.5647	0.3560	0.3948
Gen20_Mut0_ID7	Gen18_Mut0_ID12	Gen17_Mut0_ID9	-	0.2300	0.5132	0.4430	0.0755	0.8132	0.7749	0.3196	0.7483	0.9793	0.4945	0.3250	0.1580	0.5379	0.7038	0.8566	0.5178	0.6304	0.5640	0.2172	0.2132	0.5478	0.4602	0.3714	0.4613	0.3742	0.7172	0.1685	0.9953	0.2263	0.9757	0.5462	0.1305	0.1325	0.1154	0.9543	0.5431	0.0067	0.5563	0.0020	0.0001	0.5271	0.0156	0.0429	0.6440	0	0.1388	0.3520	0.0267	0.6106	0.7334	0.5784	0.4473	0.4242	0.6489	0.3619	0.6414	0.0782	0.9579	0.5386	0.5659	0.6676	0.2416	0.2100	0.5478	0.3525	0.3650
Gen20_Mut0_ID8	Gen19_Mut0_ID7	Gen19_Mut0_ID0	-	0.2613	0.5090	0.3347	0.2270	0.3867	0.7872	0.2818	0.8688	0.9235	0.4792	0.3329	0.1254	0.6780	0.7800	0.9884	0.5236	0.4413	0.5631	0.6314	0.6047	0.5439	0.4602	0.3996	0.0012	0.4069	0.7173	0.0408	0.9953	0.4652	0.3118	0.5351	0.8598	0.1325	0.2777	0.9590	0.6174	0.0802	0.5400	0.0084	0	0.5039	0.0146	0.0010	0.6879	0.7424	0	0.4083	0.0267	0	0.7386	0.5934	0.5898	0.4242	0.6769	0.4735	0.5420	0.2074	0.9558	0.4332	0.5659	0.5631	0.2223	0.2378	0.5656	0.4620	0.4407
Gen20_Mut0_ID9	Gen19_Mut0_ID0	Gen19_Mut0_ID7	-	0.2300	0.5086	0.3791	0.2032	0.3867	0.7808	0.3288	0.7694	0.9179	0.4217	0.3329	0.1254	0.3702	0.7979	0.8772	0.5202	0.2849	0.5631	0.6134	0.2671	0.5478	0.4602	0.3360	0.0169	0.4194	0.7173	0.0408	1	0.4652	0.4104	0.5351	0.6028	0.1325	0.2777	0.9997	0.6115	0.0930	0.5412	0.0084	0	0.6418	0.0134	0.0010	0.6299	0.7424	0	0.2395	0.0267	0	0.7386	0.5823	0.5898	0.7494	0.6647	0.4819	0.5653	0.2074	0.9558	0.5386	0.5659	0.6141	0.2222	0.2378	0.5656	0.5076	0.4299
