ID,SubFrame,Heading_X1,Heading_Y1,Heading_X2,Heading_Y2
T01_AcM_21April,0,195.5000,1147.5000,197.8333,1152.8334
T01_AcM_21April,1,202.5000,1130.1666,203.5000,1137.8334
T01_AcM_21April,2,217.5000,1097.8334,218.1667,1108.1666
T01_AcM_21April,3,223,1047,222.8333,1053.5000
T01_AcM_21April,4,227,1002,227,1011.5000
T01_AcM_21April,5,227,942,226,946.5000
T01_AcM_21April,6,225,860,223,871
T01_AcM_21April,7,223,786,222,797
T01_AcM_21April,8,220,707,223,713
T01_AcM_21April,9,217,635,218,650
T01_AcM_21April,10,212.5000,542.5000,212,555
T01_AcM_21April,11,208.8333,446.1667,207,460
T01_AcM_21April,12,205,360,202.5000,367
T01_AcM_21April,13,197.5000,279.5000,197.5000,291
T01_AcM_21April,14,193.5000,175.5000,195,188
T01_AcM_21April,15,198,26,195.5000,38.8333
T02_AcM_22April,0,115.5000,1085.1666,136,1083.7500
T02_AcM_22April,1,115.5000,1085.1666,134.7500,1085.5000
T02_AcM_22April,2,114.8333,1085.1666,133.5000,1087.2500
T02_AcM_22April,3,118.1667,1064.5000,125.5000,1072
T02_AcM_22April,4,129.5000,997.5000,139.7500,1004.2500
T02_AcM_22April,5,144.5000,940.5000,150,959.5000
T02_AcM_22April,6,137,888.5000,140,902
T02_AcM_22April,7,122,848,124,854
T02_AcM_22April,8,136,771,144,781
T02_AcM_22April,9,172.5000,698,169,718
T02_AcM_22April,10,155.5000,614,159,634
T02_AcM_22April,11,138,544,147,558
T02_AcM_22April,12,141.5000,440,144,453
T02_AcM_22April,13,153.5000,320,157,337
T02_AcM_22April,14,141,205,143,230
T02_AcM_22April,15,124,96,123,116
T03_HmF_v19,0,110,385.5000,108,393
T03_HmF_v19,1,110,386.5000,108,393
T03_HmF_v19,2,114,381,110,387
T03_HmF_v19,3,116,364.5000,112,372
T03_HmF_v19,4,122,367.5000,116,376
T03_HmF_v19,5,131.5000,365,124,375
T03_HmF_v19,6,141,356,134,368
T03_HmF_v19,7,162.5000,336.5000,157,345
T03_HmF_v19,8,171.5000,327,168,335
T03_HmF_v19,9,176.5000,318,170,327
T03_HmF_v19,10,175,270,174,279
T03_HmF_v19,11,170,232.5000,168,243
T03_HmF_v19,12,168,180.5000,166,191
T03_HmF_v19,13,160,154.5000,160,167
T03_HmF_v19,14,143,107,142,117
T03_HmF_v19,15,108,38,110,50
T04_HmF_v22,0,124.8333,1038.5000,140.5000,1034.5000
T04_HmF_v22,1,119.1667,1024.5000,142.8333,1038.5000
T04_HmF_v22,2,129.1667,991.1667,136.1667,998.1667
T04_HmF_v22,3,150.5000,936.5000,153.8333,946.1667
T04_HmF_v22,4,178,900,173.5000,908
T04_HmF_v22,5,166,851.5000,164.5000,856.5000
T04_HmF_v22,6,155,790,155,799
T04_HmF_v22,7,178.5000,734,174.5000,744
T04_HmF_v22,8,196.5000,668.5000,196,681.5000
T04_HmF_v22,9,203,597.5000,204,610.5000
T04_HmF_v22,10,212,517,212.5000,524.5000
T04_HmF_v22,11,212.5000,442,218.5000,458
T04_HmF_v22,12,202,338,205.5000,349.5000
T04_HmF_v22,13,192.5000,245.5000,187,258
T04_HmF_v22,14,148.5000,142.5000,158,154.5000
T04_HmF_v22,15,122.5000,34.5000,135,58
T05_HmF_v26,0,214.5000,850.5000,200.8333,860.1667
T05_HmF_v26,1,212.5000,838,199.8333,847.1667
T05_HmF_v26,2,209.5000,831,198.5000,842.1667
T05_HmF_v26,3,209.5000,835.5000,199.1667,841.8333
T05_HmF_v26,4,213.5000,819.5000,196.5000,826.8333
T05_HmF_v26,5,224,761,202.8333,762.1667
T05_HmF_v26,6,193.5000,694.5000,182.8333,707.8333
T05_HmF_v26,7,205.5000,644.5000,190,661
T05_HmF_v26,8,216,598,197,604
T05_HmF_v26,9,229,520,198,524
T05_HmF_v26,10,194,432.5000,186,446
T05_HmF_v26,11,199.5000,354.5000,191,370
T05_HmF_v26,12,216.5000,285,201,299
T05_HmF_v26,13,224,211,209,224
T05_HmF_v26,14,215.5000,114.5000,208,130
T05_HmF_v26,15,214,30,206,49
T06_HmM_v5,0,90,743.5000,87.7500,750.7500
T06_HmM_v5,1,85.5000,743.2500,83.7500,751.7500
T06_HmM_v5,2,91.5000,736.7500,89.7500,745
T06_HmM_v5,3,101.7500,724.7500,100,732.5000
T06_HmM_v5,4,122.2500,675.2500,120.5000,681
T06_HmM_v5,5,140.5000,619,140.5000,623.5000
T06_HmM_v5,6,153.5000,576,152.5000,586.5000
T06_HmM_v5,7,163,529,162,542
T06_HmM_v5,8,173,468,170.5000,482
T06_HmM_v5,9,180,408,177,417.5000
T06_HmM_v5,10,173,353,171,363.5000
T06_HmM_v5,11,159,310,157,317.5000
T06_HmM_v5,12,149,256,149,264.5000
T06_HmM_v5,13,142,193.5000,144,206
T06_HmM_v5,14,131,134,127.5000,148
T06_HmM_v5,15,92,80,90,92.5000
T07_HmM_v43,0,141.5000,365.1667,150,362
T07_HmM_v43,1,141.8333,365.5000,151,362
T07_HmM_v43,2,141.5000,364.8333,150,362
T07_HmM_v43,3,140.8333,366.1667,150,361
T07_HmM_v43,4,141.5000,363.8333,150,361
T07_HmM_v43,5,148.1667,356.1667,160,351
T07_HmM_v43,6,139.5000,316.5000,158,317
T07_HmM_v43,7,122.1667,268.5000,134,273
T07_HmM_v43,8,130,237,127,246
T07_HmM_v43,9,106,217,109,228
T07_HmM_v43,10,94,202,102,214
T07_HmM_v43,11,114,163,110,172
T07_HmM_v43,12,127,152,130,164
T07_HmM_v43,13,151,136,143,144
T07_HmM_v43,14,133,87,136,106
T07_HmM_v43,15,152,49,152,66
T08_HmM_v44,0,133.5000,501.8333,135.1667,516.5000
T08_HmM_v44,1,131.5000,502.5000,131.1667,515.5000
T08_HmM_v44,2,129.1667,509.8333,137.1667,508.8333
T08_HmM_v44,3,123.1667,512.8333,131.5000,510.5000
T08_HmM_v44,4,138.5000,477.1667,136.5000,495.5000
T08_HmM_v44,5,170.1667,430.1667,163.1667,445.5000
T08_HmM_v44,6,192,392,186,405.5000
T08_HmM_v44,7,200,366,196,379
T08_HmM_v44,8,194,360,198,363
T08_HmM_v44,9,188,322,196,331
T08_HmM_v44,10,196,266,199,274
T08_HmM_v44,11,198,220,196,240
T08_HmM_v44,12,180,183,180.5000,201
T08_HmM_v44,13,164,137,161,166.5000
T08_HmM_v44,14,138,90,148,97.5000
T08_HmM_v44,15,131,22,140,36
T09_PdF_v17,0,294,718,294,746
T09_PdF_v17,1,302,717,300,745
T09_PdF_v17,2,313,712,310,733
T09_PdF_v17,3,329,697,328,718
T09_PdF_v17,4,356,681,348,701
T09_PdF_v17,5,368,678,356,688
T09_PdF_v17,6,354,664,346,680
T09_PdF_v17,7,322,646,317,664
T09_PdF_v17,8,282,614,280,628
T09_PdF_v17,9,290,545,288,558
T09_PdF_v17,10,304,496,301,506
T09_PdF_v17,11,280,417,278,432
T09_PdF_v17,12,238,318,234,338
T09_PdF_v17,13,220,224,217,242
T09_PdF_v17,14,233,104,253,140
T09_PdF_v17,15,294,14,286,37
T10_PdF_v18,0,229,910,242,934
T10_PdF_v18,1,232,912,237,933
T10_PdF_v18,2,235,887,257,913
T10_PdF_v18,3,304,880,310,906
T10_PdF_v18,4,325,846,342,871
T10_PdF_v18,5,365,847,354,869
T10_PdF_v18,6,339,816,341,842
T10_PdF_v18,7,299,776,305,803
T10_PdF_v18,8,262,723,269,746
T10_PdF_v18,9,266,654,272,673
T10_PdF_v18,10,277,592,278,611
T10_PdF_v18,11,281,522,277,543
T10_PdF_v18,12,248,432,242,449
T10_PdF_v18,13,208,340,206,363
T10_PdF_v18,14,200,240,200,269
T10_PdF_v18,15,230,112,230,157
T12_PdM_v9,0,185,780,202,785
T12_PdM_v9,1,186,778,204,782
T12_PdM_v9,2,185,774,200,777
T12_PdM_v9,3,186,770,210,756
T12_PdM_v9,4,180,760,206,774
T12_PdM_v9,5,174,740,201,758
T12_PdM_v9,6,168,733,182,748
T12_PdM_v9,7,164,724,173,734
T12_PdM_v9,8,168,650,176,670
T12_PdM_v9,9,189,590,185,620
T12_PdM_v9,10,202,534,200,554
T12_PdM_v9,11,244,453,238,465
T12_PdM_v9,12,280,341,266,377
T12_PdM_v9,13,233,240,232,266
T12_PdM_v9,14,185,140,190,157
T12_PdM_v9,15,188,22,189,38
T13_PdM_v12,0,95,390,103,400
T13_PdM_v12,1,97,390,101,398
T13_PdM_v12,2,89,383,99,391
